objectid,filename,title,creator,description,bio,full bio,date,archival date,subject,location,latitude,longitude,relationship,source,donor,identifier,rights,standardized rights,item_type,format original,type,format,display_template,language,object_location,image_thumb,image_small,object_transcript
akenson_1,JZ1O4qaE0mk,"Jim and Holly Akenson Interview, Part One",Jack Kredell,"Jack Kredell interviewing Jim and Holly Akenson, researchers who first went to the Taylor Wilderness Research Station in 1982. In part one, they discuss talk what attracted them to the research station in 1982, the transitional period between the Idaho Primitive Area to the Frank Church River of No Return Wilderness, living at the Taylor Ranch. In part two they discuss the impact of the '00 wildfire on the research station, how that fire season changed their views.",,,2022-06-09,"June 09, 2022",wilderness;ecology;wildlife;research;,"Enterprise, Oregon",45.4263,-117.2788,superintendent;director,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://youtu.be/JZ1O4qaE0mk,https://img.youtube.com/vi/JZ1O4qaE0mk/hqdefault.jpg,https://img.youtube.com/vi/JZ1O4qaE0mk/default.jpg,
akenson_2,FUQxLldB7Pw,"Jim and Holly Akenson Interview, Part Two",Jack Kredell,"Jack Kredell interviewing Jim and Holly Akenson, researchers who first went to the Taylor Wilderness Research Station in 1982. In part one, they discuss talk what attracted them to the research station in 1982, the transitional period between the Idaho Primitive Area to the Frank Church River of No Return Wilderness, living at the Taylor Ranch. In part two they discuss the impact of the '00 wildfire on the research station, how that fire season changed their views.",,,2022-06-09,"June 09, 2022",wildfires;ecology;wildlife;,"Enterprise, Oregon",45.4263,-117.2788,superintendent;director,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://youtu.be/FUQxLldB7Pw,https://img.youtube.com/vi/FUQxLldB7Pw/hqdefault.jpg,https://img.youtube.com/vi/FUQxLldB7Pw/default.jpg,
armstrong,Pltj4pbRZEE,Andrew Armstrong,Jack Kredell,"Jack Kredell interviews Andrew Armstrong, facilities superintendent at the Taylor Wilderness Research Station. Andrew talks about what attracted him to his job at Taylor Ranch, what he does, and what life is like in the area.",Andrew Armstrong lives full time at Taylor Ranch as station superintendent beginning in 2021.,"Andrew Armstrong lives full time at Taylor Ranch as station superintendent beginning in 2021. He received a BS in Environmental Engineering from Cal Poly San Luis Obispo. Previously, he has worked in renewable power and net zero construction in Idaho and overseas. He received his PhD in Materials Science from Boise State University in 2020. Andrew first visited Taylor Ranch back in 1999, while a youngster working for his family’s trail building and backcountry Airstrip construction company. Andrew supports scientific efforts at Taylor while keeping the facility running and doing related ranch work. The station is co-managed by Andrew’s dog, Josie, and three cats—Little One, Queen Jane, Blacky—along with a beloved assortment of horses, mules, and chickens.",2022-08-02,"August 02, 2022",wildlife;researchers;murder;rivers;,Taylor Wilderness Research Station,45.1028,-114.8517,superintendent;,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://youtu.be/Pltj4pbRZEE,https://img.youtube.com/vi/Pltj4pbRZEE/hqdefault.jpg,https://img.youtube.com/vi/Pltj4pbRZEE/default.jpg,
cohn,1w95_m9GHOE,Teresa Cohn,Jack Kredell,"Jack Kredell interviews Teresa Cohn, an instructor at the Taylor Wilderness Research Station in 2015. Teresa talks about her experience visiting the research station for the first time, her involvement at Taylor Ranch, the community of researchers.",,,2022-07-13,"July 13, 2022",people;researchers;teaching;,"Moscow, Idaho",46.7324,-117.0002,director;professor;,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://youtu.be/1w95_m9GHOE,https://img.youtube.com/vi/1w95_m9GHOE/hqdefault.jpg,https://img.youtube.com/vi/1w95_m9GHOE/default.jpg,
colden,Wg3J0LCrX5E,Colden Baxter,Jack Kredell,"Jack Kredell interviews Colden Baxter, a professor at Idaho State University. Colden talks about his research and when he first came to the Taylor Ranch.",,,2022-07-31,"July 31, 2022",people;rivers;,Taylor Wilderness Research Station,45.1028,-114.8517,professor;,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://youtu.be/Wg3J0LCrX5E,https://img.youtube.com/vi/Wg3J0LCrX5E/hqdefault.jpg,https://img.youtube.com/vi/Wg3J0LCrX5E/default.jpg,
pope,gNXmO-zVt90,Janet DeVlieg Pope,Jack Kredell,"Jack Kredell interviews Janet DeVlieg Pope, president and board member of the DeVlieg Foundation. Janet talks about her involvement with the Taylor Wilderness Research Station,  the DeVlieg undergraduate research fellowship, her connection with wilderness and nature.",,,2022-08-02,"August 02, 2022",research;students;wilderness;ecology;,Taylor Wilderness Research Station,45.1028,-114.8517,supporter;,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://youtu.be/gNXmO-zVt90,https://img.youtube.com/vi/gNXmO-zVt90/hqdefault.jpg,https://img.youtube.com/vi/gNXmO-zVt90/default.jpg,
krumpe_1,AZuASaVexoI,"Ed Krumpe Interview, Part One",Jack Kredell,"Jack Kredell interviews Ed Krumpe, a retired professor from the University of Idaho College of Natural Resources. In part one, Ed discusses about his work at the Taylor Wilderness Research Station from 1979, the geography of the area. In part two, Ed discusses how his time at the research station stayed with him, the impact of the '00 fires, and other changes in the area.",,,2022-05-24,"May 24, 2022",elk;salmon;ecology;researchers;geography;,"Moscow, Idaho",46.7324,-117.0002,professor;,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://youtu.be/AZuASaVexoI,https://img.youtube.com/vi/AZuASaVexoI/hqdefault.jpg,https://img.youtube.com/vi/AZuASaVexoI/default.jpg,
krumpe_2,9HkIvHXG_JU,"Ed Krumpe Interview, Part Two",Jack Kredell,"Jack Kredell interviews Ed Krumpe, a retired professor from the University of Idaho College of Natural Resources. In part one, Ed discusses about his work at the Taylor Wilderness Research Station from 1979, the geography of the area. In part two, Ed discusses how his time at the research station stayed with him, the impact of the '00 fires, and other changes in the area.",,,2022-05-24,"May 24, 2022",elk;salmon;ecology;researchers;geography;,"Moscow, Idaho",46.7324,-117.0002,professor;,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://www.youtube.com/watch?v=9HkIvHXG_JU,https://img.youtube.com/vi/9HkIvHXG_JU/hqdefault.jpg,https://img.youtube.com/vi/9HkIvHXG_JU/default.jpg,
krumpe_3,ElwKGcw1dhU,"Ed Krumpe Interview, Part Three",Jack Kredell,"Jack Kredell interviews Ed Krumpe, a retired professor from the University of Idaho College of Natural Resources. In part one, Ed discusses about his work at the Taylor Wilderness Research Station from 1979, the geography of the area. In part two, Ed discusses how his time at the research station stayed with him, the impact of the '00 fires, and other changes in the area.",,,2022-05-24,"May 24, 2022",Big Creek;wilderness;wildfires;,"Moscow, Idaho",46.7324,-117.0002,professor;,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://youtu.be/ElwKGcw1dhU,https://img.youtube.com/vi/ElwKGcw1dhU/hqdefault.jpg,https://img.youtube.com/vi/ElwKGcw1dhU/default.jpg,
koehler,L3qxWeV_-zs,Gary Koehler,Jack Kredell,"Jack Kredell interviews Gary Koehler, a wildlife biologist, about his experiences with the Taylor Wilderness Research Station. Gary became interested in the research station in 1969 and studied bobcats and their interactions with wolves and cougars.","Taylor Ranch, at the center of The Frank Church River of No-Return Wilderness, is what drew me to Idaho from neighboring Washington. One of the largest Wilderness areas in the contiguous U.S. and Dr. Maurice Hornocker’s research on this Wilderness’ enigmatic carnivore, the Mountain Lion, sealed its allure.","Taylor Ranch, at the center of The Frank Church River of No-Return Wilderness, is what drew me to Idaho from neighboring Washington. One of the largest Wilderness areas in the contiguous U.S. and Dr. Maurice Hornocker’s research on this Wilderness’ enigmatic carnivore, the Mountain Lion, sealed its allure. The serendipity of place and my fortuitous introduction to Maurice led to my pursuit for PhD Studies at Taylor Ranch on Bobcat ecology during the early 1980s. This pristine natural laboratory was a perfect setting for unraveling the mystery of this little cat where their populations and environment were minimally impacted by man.  After receiving my degree and intrigued to explore more remote areas of the world and their native felids I ventured to the Serengeti-Mara ecosystem of Kenya to study African lions and later to Mongolia and Nepal to study snow leopards. Returning to Washington I embarked on a suburban study area, where cougars, otherwise known as Mountain Lions, and humans appeared to co-exist with few conflicts. This research integrated the community and the Cle Elum Public Schools into Project CAT (Cougars and Teaching).",2022-07-25,"July 25, 2022",wildlife;cougars;wolves;bobcats;,"Moscow, Idaho",46.7324,-117.0002,phd student;,Voices of Taylor - Jack Kredell Interview Project funded by the U of I Library and the College of Natural Resources,,,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,video,Image;MovingImage,video/mp4,transcript,eng,https://youtu.be/L3qxWeV_-zs,https://img.youtube.com/vi/L3qxWeV_-zs/hqdefault.jpg,https://img.youtube.com/vi/L3qxWeV_-zs/default.jpg,
