speaker,timestamp,End Time,words,tags

Jack Kredell,[00:00:00:00],00:00:13:22,Because your names are synonymous almost with Taylor Ranch at this point. If you could just introduce yourself and talk about your affiliation or connection to Taylor.
Jim Akenson,[00:00:14:00],00:00:17:05,Okay. You want to go first Holly?
Holly Akenson,[00:00:17:07],00:00:41:06,"I'm Holly Ackenson, and we first went to Taylor Ranch in 1982, and Jim and I got married in 1978. And the time we got married, we said, you know, we're probably going to live somewhere where we don't have electricity. So we told people not to buy us any wedding gifts that were electric related, and we didn't know where we might end up.",
Holly Akenson,[00:00:41:06],00:00:48:22,But that was sort of what helped lead us to to Taylor Ranch and University of Idaho.
Jim Akenson,[00:00:49:00],00:01:22:15,"Yeah, my name is Jim Akenson and would concur with Holly's assessment there. And add to it that we had some pretty desirable professional opportunities in 1982. I was finishing my Master's degree and was working for the Bureau of Land Management as a wilderness planner, and there was some good opportunities looming. But the thing that pulled us to Taylor Ranch was a combined opportunity, for one thing, something for both of us, Holly's wildlife background.",
Jim Akenson,[00:01:22:15],00:01:42:13,"And at that time my wilderness management interests and background. But it was an adventure. And that was the bottom line. And I think that was the main thing. During our mid-twenties, what pulled us back there in 1982.",wilderness
Jack Kredell,[00:01:42:15],00:01:54:00,"Just to give you a heads up, if I like, have an awkward pause after you finish talking, it's just so that there's enough space there to cut and you know.",
Jim Akenson,[00:01:54:02],00:01:59:12,"Yeah. Okay.",
Jack Kredell,[00:01:59:14],00:02:05:14,"So let's see. At that time, this was 82.",
Jim Akenson,[00:02:05:16],00:02:07:09,Yeah.
Jack Kredell,[00:02:07:11],00:02:19:02,So was this a couple of years after the Frank Church River of No Return Wilderness had been officially designated by Congress?,
Jim Akenson,[00:02:19:08],00:02:52:16,"Well, it was in between two significant namings, basically, which was the river of No Return Wilderness is 1980. And then the Frank Church River of No Return wilderness occurred in 1984, I believe. And so we were right in between those four year period. And I had it was transitioning to designated wilderness from being referred to as the Idaho primitive area.",
Jim Akenson,[00:02:52:17],00:03:11:21,"And a lot of people, pilots and backcountry recreationalists were still referring to it as the primitive area. It was more commonly called that than the river of No return, and certainly not the Frank Church for no return at that time.",pilot
Jack Kredell,[00:03:11:22],00:03:21:23,And what was what was Taylor's name? prior to that? But that name change from primitive to wilderness was.
Jim Akenson,[00:03:22:01],00:03:43:14,"Taylor Ranch, per se, well, under university ownership dating back to 1970, technically it was known as either Taylor Ranch Field Station, which was most of our time period there, or Taylor Ranch Research Station or Research Center, do you have anything that.",
Holly Akenson,[00:03:43:16],00:03:49:23,"I was thinking before, before Taylor was there it was called the Lewis Place.",
Jim Akenson,[00:03:50:01],00:03:51:06,"Yeah, in the thirties.",
Holly Akenson,[00:03:51:06],00:04:12:16,"Dave SLewis was the one that homesteaded. So the site is had different names but think still people often refer to it as Taylor Ranch. The university is more formalized in in name now with the research station part, but a lot of the local people still refer to it as Taylor Ranch.",
Jim Akenson,[00:04:12:18],00:04:25:18,"Interestingly, it was referred to a lot as the ranch, and I know as our early years as managers we thought that needed a modification or something more specific.",
Holly Akenson,[00:04:25:20],00:04:40:02,"Well, it was awkward because then we became the ranch managers, which we weren't really ranchers or managing a ranch. So that was a little confusing with the the management piece.",
Jim Akenson,[00:04:40:04],00:04:47:20,Can we cut for just a minute. I'm going to put both dogs in the house. Too distracting.
Jim Akenson,[00:04:50:17],00:05:25:23,"Dog disturbance. So one thing that I would say in those early years in, we had familiarity with the Hells Canyon Wilderness, the Eagle Cap Wilderness. And to me it just felt it seemed to be much more like an Alaskan wild place than either one of those wildernesses we were familiar with here. And a lot of that relates to the fact that it had a lot of aviation in it.",aviation;wilderness
Jim Akenson,[00:05:26:01],00:05:57:12,"There's so many places that you could fly to and such a dependence for, from a service perspective on the mail plane and that whole mail service. And to me, I really like that feel that it it was broader than just some ice glacier peak type wilderness or big canyon. It had a backcountry culture connected with it and that seemed very apparent right from the get go.",wilderness;community
Holly Akenson,[00:05:57:14],00:06:37:15,"And the other thing is it it's such a large landscape that the wilderness itself en encompassed everything from alpine summer ranges for large mammals to the winter ranges, whereas most wildernesses only have part of the area that's used by large mammals. So that was really what I found fascinating. And, and we enjoyed living on Big Creek and working up and down the canyon, hiking and and knowing that what we saw was what was out there.",wilderness
Holly Akenson,[00:06:37:15],00:06:51:08,There were no other people disturbing animal movements or behaviors that was truly of large scale intact system.
Jack Kredell,[00:06:51:10],00:07:03:03,Can you can you describe the geography of the site when you step out of the front door? What do you see?,
Jim Akenson,[00:07:03:04],00:07:37:05,"Well, you're you're in the middle of a massive block of mountains, of Salmon River mountains, but you're also in a canyon environment. And to me, it just was so similar to Hells Canyon, except for obviously Big Creek, the side canyon in the middle for it, which is a side canyon to the Salmon River. I would say it's a river dominated landscape of riverine dominated landscapes.",
Holly Akenson,[00:07:37:07],00:07:56:23,And everything's uphill except when you go down Big Creek and often uphill in steep ways. So really provided with that quick relief of diversity of environments in a very short distance. Dave Lewis Peak was right behind Taylor Ranch and that was 9000.
Jim Akenson,[00:07:57:05],00:07:59:01,350,
Holly Akenson,[00:07:59:03],00:08:04:01,"Yeah, and Taylor Ranch was around 3700 feet.",
Jim Akenson,[00:08:04:03],00:08:11:21,"3900? Yeah, almost close. Yeah. Yeah.",
Holly Akenson,[00:08:11:22],00:08:53:13,"So lots of different elevation changes and the aspects were totally different. The drainage is the east west drainage and so the north facing slopes were forested primarily with Douglas fir, but also Ponderosa pine. The south facing slope for mostly open bunchgrass and some sagebrush. So again, tremendous diversity in environments in a very small scale area. And when your only mode of travel is hiking or riding a mule, you don't get very far away to to have this close environment.",
Holly Akenson,[00:08:53:15],00:09:12:17,That's one thing that's really different for us now here is just because you can get in a vehicle and drive in the area that's your local neighborhood is much bigger than a Taylor Ranch on Big Creek. We had a very small local neighborhood that we could access.,community
Jim Akenson,[00:09:12:19],00:09:40:01,"And I would say, again, stepping outside the cabin there. Taylor What do you feel? Well, one thing I would say is you feel that you are a small entity in a big environment in here. For instance, in this Wallowa valley, I don't get that feeling. It's like it's still even though there's great mountains like those behind us and a couple well, three wilderness areas nearby.",wilderness
Jim Akenson,[00:09:40:01],00:10:04:20,"Wenaha-Tucannon, and Hells Canyon and the Eagle Cap, I don't feel that. I feel that it's still kind of heavily influenced by man in the Frank Church. There's so much of that that is not influenced by man. So it's a different feel and it's a sensation, again, more like an Alaskan backcountry experience.",
Jack Kredell,[00:10:04:22],00:10:08:05,You guys missed that. That sensation.
Jim Akenson,[00:10:08:14],00:10:22:09,"Oh yeah. There's not a day that goes by that I don't think about some aspect of Big Creek and Taylor Mountain, and I think that'll be the way it is for the rest of our lives. And I don't know, maybe you view it a little differently, but.",
