speaker,timestamp,End Time,words,tags

Andrew Armstrong,[00:00:00:00],00:00:37:11,"My name is Andrew Armstrong. I am the facility superintendent out here. I recently graduated from college with a Ph.D. in materials science and engineering. And I was thinking, you know, what am I going to do that is going to combine being outdoors in the wilderness and ranching, which I love, and also kind of this interest in science, which I kind of developed from my time working on my Ph.D. and, you know, I basically saw this job pop up at Taylor Ranch, and it wasn't really what I was intending to do.",
Andrew Armstrong,[00:00:37:13],00:00:59:08,"But, you know, in life you just take these opportunities and jump on it and see what happens. And that's kind of why I'm out here. I grew up and my family, had a back end to trail building, construction business, and one of the projects we rebuilt, Cabin Creek Airstrip, which is the airstrip about five miles upstream from here.",aviation
Andrew Armstrong,[00:00:59:10],00:01:29:12,"That was in 1999. And back in those days, the caretakers where Jim Ackerson and we would come down here and see this little Shangri-La of just a beautiful ranch out here and come see Jim and Holly, who work with ... in this traditional way. And we're really kind of a inspirational figure in my life. And I saw this job come about, and here I am.",
Andrew Armstrong,[00:01:29:14],00:01:36:02,"Hey, Blackie.",
Jack Kredell,[00:01:36:04],00:01:46:06,Can you talk about what your daily life here is like? What the daily operation of Taylor Ranch is like?,
Andrew Armstrong,[00:01:46:08],00:02:10:05,"Well, the life out here depends a lot on the seasons. You know, It's not like you do something new or you kind of doing something new, just depending on what needs to be done. So, you know, in the fall, you know, you might be on a restart.",
Jack Kredell,[00:02:10:05],00:02:24:14,That one or all of the state. What Yeah. What is the daily operation of the ranch look like?,
Andrew Armstrong,[00:02:24:16],00:03:00:18,"Just the daily operation of Taylor just kind of depends on the seasons like today was the day with a bunch of people and you know, part of it is just accommodating people and making sure everyone's happy, keeping people busy, working on people's projects, making sure that kind of the progress is forward. You know, so recently I was doing a bunch of hands that I was, you know, had to get all the equipment up and running and do a bunch of maintenance and kind of figure out how it all work.",
Andrew Armstrong,[00:03:00:18],00:03:28:09,"Because it's my first year back here and my dad came in and helped me out with figuring out how all this horse drawn equipment works. Currently we're using instructions, pull it. But so I was recently, you know, just using a pitchfork and tossing a bunch of hay in the hay wagon and then taking it to the barn. And I kind of had to rethink how to fix the barn because the barn has been out of commission for a bit.",
Andrew Armstrong,[00:03:28:09],00:04:00:03,"So I've been working on that these days. It's still easier. There's a lot of irrigation, so moving sprinklers around, kind of redoing the irrigation, keeping the airstrip mowed, kind of working with the stock, kind of doing getting the electric fences all ready to kind of keep them corralled. You know, it just kind of depends on the day I wake up and I think I'm going to do something and I end up doing kind of something else.",aviation;water
Andrew Armstrong,[00:04:00:03],00:04:25:23,"And it's kind of how it is for most of the year. And, you know, in the winter, you know, you're kind of getting the pipes all ready for the freeze up in the middle of the winter. You're going up there and you're clearing the intakes and making sure the water keeps running and you're going out and checking for the wildlife activity, because just in the middle of winter, it's just it's kind of crazy back here.",
Andrew Armstrong,[00:04:25:23],00:04:57:13,"The amount of mountain lions and wolves and deer, it's you know, it's kind of a cold, hungry canyon. So in the middle of winter, it's kind of what we're doing in the spring, kind of getting the garden going. We did a lot of fuels reduction, so it is and prescribed burns out here. And then, you know, at some point everything opens up enough that we can start having students and groups back here middle of spring, and then we run internships.",wolves;wildfire
Andrew Armstrong,[00:04:57:15],00:05:27:19,"That's kind of early summer and we run that until kind of the fire season starts, which is about now. And I'm kind of getting all the irrigation prepped for fire season and, you know, then we'll have semester in the wild and I haven't done that yet, so I'm intrigued to see how that all goes.",wildfire;water
Jack Kredell,[00:05:27:20],00:05:38:11,What do you talk about the animals currently at Taylor.,
Andrew Armstrong,[00:05:38:12],00:06:09:05,"Yeah, so when I first got the job here, I figured I had a dog and I had a cat, but I heard there were a lot of packrats. So I went down to the MC Paws Animal Shelter here in McCall, and I heard they're in McCall and I got a couple of kittens, and I've been here about one year and here is this guy.",
Andrew Armstrong,[00:06:09:07],00:06:31:04,"He's a good one. So I got I have three cats. and they all do a good job of dealing with the mice. You know, you can either have lots of mouse traps or you can have cats. So I chose to have cats. There were a lot of pack rats, and I have a dog. Josey She's not here at the moment.",
