speaker,timestamp,End Time,words,tags

Teresa Cohn,[00:00:00:00],00:00:40:22,"Okay. I'm Teresa Cohn and I have to think, yeah, the first time I was at Taylor was through the McCall art or Science school. And so I was first there with a group of students, do you want a year? Probably doesn't matter. Let's see. It would have been 2011, maybe. No, that's not right at all. Sorry. That's totally not right. 2015.",
Teresa Cohn,[00:00:40:23],00:00:49:10,2015. Yeah. And so I traveled in with a group of graduate students for the McCall Outdoor Science School.,
Teresa Cohn,[00:00:49:12],00:00:53:19,We would talk about it. Really want to know about it?,
Jack Kredell,[00:00:53:21],00:01:00:05,How? That was the first time you visited Taylor?,
Teresa Cohn,[00:01:00:07],00:01:16:21,"Yeah. I think I'm trying to think here. I think that's right. I think I flew in, in charge of a group of students straight off the bat. I'm pretty sure. Yeah.",
Jack Kredell,[00:01:16:23],00:01:17:17,From us.,
Teresa Cohn,[00:01:17:19],00:01:18:23,From us?,
Jack Kredell,[00:01:19:01],00:01:25:05,"Yeah. And then later on, you. You were more involved.",
Teresa Cohn,[00:01:25:07],00:01:54:12,"That's right. Yeah. So every in that became kind of instantly. I mean, I would say the first time I was it, too. I came from Montana, and even within a few minutes of landing at Taylor, I just had the sense of it. To me, it felt a lot like Yellowstone in terms of just the level, how the wildness felt very similar to me to being in Yellowstone and and from the get go.",
Teresa Cohn,[00:01:54:12],00:02:30:12,"It was a amazing place to teach. And it was a place where, you know, you sort of have to, I think, just for me to teach, whether you really do monitor how much of yourself to put in and how much of yourself to remove, because I think if you're doing your job, the place is teaching, you know, and so you're just sort of facilitating this process of students really being able to deeply engage with a place that can be certainly inspiring but also incredibly agitating.",
Teresa Cohn,[00:02:30:15],00:02:42:17,Right. And so you're managing that for students in the sort of profound learning experiences that that can happen there when things are going well.,wonder
Jack Kredell,[00:02:42:19],00:02:46:12,What is the place teaching then?,
Teresa Cohn,[00:02:46:14],00:03:20:00,"I mean, this is to me really a question of what's the what's the worth of this as an educational experience? And I think there are many things that you can learn at Taylor, but the rarity of it is that I think it's a place that's so different than a college campus in that it's integrated learning whether you like it or not.",
Teresa Cohn,[00:03:20:01],00:03:38:13,"Right. And so you're learning all kinds of things. You're certainly learning about, you know, the science that we would intend to happen there. It was just happen to Taylor for years and years and years. But I'm also interested in all the other things are getting learned in the process, which is how to function in the community, what is designated wilderness, how do we inhabit this place?",community;wilderness
Teresa Cohn,[00:03:38:15],00:04:16:05,"What is it like to inhabit a landscape with predators? How is it to move through the landscape differently? And I think all of these, you know, we might say in you know, in academic language, this is interdisciplinary, but I think it's more profound than that. It's a for asked students to be different in the world because that's what the place asks of them.",wonder
Jack Kredell,[00:04:16:07],00:04:17:06,That makes me think of wilderness doctrine and.,
Jack Kredell,[00:04:25:02],00:04:57:01,"With the exception of the station manager, Taylor is a place where man is but a visitor in the sense that Taylor is a place of comings and goings. Students arriving, students leaving, researchers arriving and leaving. And so I. I wonder what people take back from Taylor. Like what? What sticks with you when you leave Taylor? When you're far from Taylor?",
Jack Kredell,[00:04:57:02],00:05:00:04,"Like, how. How how does Taylor stay with you, do you think?",
Teresa Cohn,[00:05:01:10],00:05:43:16,"Yeah, that's a good question. I might backtrack a little bit and say one of the things that Taylor does well is help us have personal experiences of time beyond our own geological landscape. Hydrological landscape, cultural landscape. Right. And so I think to when I'm at Taylor, there's so much duku dika present still in that landscape that it reminds us that actually this time of comings and goings, it's brief.",
Jack Kredell,[00:05:43:18],00:05:48:11,What do you see when you when you step out the front door?,
Teresa Cohn,[00:05:48:14],00:06:22:05,"Delves is that where we are? Yeah the hay meadow obviously in front and you sort of feel everything to your back, which would be Pioneer Creek going up to Dave Lewis, that whole basin. I mean I sort of in my mind would see snow on Dave Lewis. and then the, the ridgelines wrapping around down to the Hay Meadow out front beyond the hay meadow, Big Creek, the bridge, certainly the vegetation along Big creek.",
Teresa Cohn,[00:06:22:07],00:06:47:22,"Well the solar panels and the energy, the whole place. You know, I guess when you're when you're out at Taylor and you're sort of like monitoring the place, that's a really important keeping the energy up, you know, the Internet, where all that happens and then across to, you know, across the bridge and out to the benches, you know, that kind of like stack up.",
Teresa Cohn,[00:06:47:22],00:07:15:20,"And then and then beyond that, you know, we like two summers ago, I guess, flew in to Cold Meadows and hiked maybe 20, 25 miles down. And so now, like this fast and some Jim and Hollywood have this more. It's all those people who have on their feet gone back with see have this thing sort of like layered beyond that.",
Teresa Cohn,[00:07:15:20],00:07:44:18,"It has like layered memory of everything that we've seen, you know, back in there, some really amazing country. Once you get up high and can look around and then, you know, once you're up that high, there's sort of a geography of the middle fork and and the way that it curves around the salmon and sort of how that then expands into this great wilderness, you know, the Frank Church River of No return.",wilderness
