speaker,timestamp,End Time,words,tags

Colden Baxter,[00:00:00:00],00:00:32:22,"My name is Colden Baxter, and I'm a professor at Idaho State University. I'm principally an ecologist of streams and rivers and I but I also study the linkages between water and land, and in recent years have taken to doing work that links the social sciences and ecological sciences and that are to better understand the relationships between people and rivers.",water
Colden Baxter,[00:00:33:01],00:01:05:23,"And I got started working back here at the Taylor Branch at this field station. I actually came here. I kind of like this story because it is a little emblematic before I even moved into my office at Idaho State University. My predecessor, Wayne Mitchell and I, within days of my arrival at ISU, came back in here and made a visit.",
Colden Baxter,[00:01:05:23],00:01:50:13,"And it was actually it was like November. But I was so excited about the prospect of getting to know this place and beginning to do science here and connect what I was thinking about doing to what he had done for decades back here in the Middle Fork Salmon River Country, and specifically out of Taylor Ranch. And big part of my enthusiasm for that, that job and my excitement at getting that opportunity had to do it with this place and the prospect of making that connection.",water
Colden Baxter,[00:01:50:15],00:02:27:06,"And that was the fall well of 2004. And so I've been coming back in here regularly ever since then, not only for to carry on the long term monitoring that documents Al and his students began in the late 1980s, but also to collaborate with and work with an array of undergraduate and graduate students who use this as a base for doing various research projects.",
Colden Baxter,[00:02:27:07],00:03:06:11,"So for me, the continuity of the long term monitoring and consistently having students working here has meant that this place and the surrounding river drainage has become a real home space for me and for my community, both my family and the community of people that I work with and ecology is the science of home like that's actually what the word originally means, right?",water;community
Colden Baxter,[00:03:06:13],00:03:41:12,"And so I think of places like this as particularly meaningful context for doing doing ecological research, because come to think of it as a home place and so and, and so the science we do here and the culture, the community of people that interacts here is, is rich and and deep. And it extends back before my having even visited this place.",community;perspective
Colden Baxter,[00:03:41:12],00:03:55:14,"So that's a little bit of the back backdrop, I guess for for why this place is why how I'm connected to this place and why it's special to to me and to my family.",
Jack Kredell,[00:03:55:16],00:04:31:23,"You're you're pursuing a study of home in a place that has become a home. and I. I noticed while observing your, your students today that that science scientific production for you is both, it's. It's also a family affair, as much as it is a scientific one. And there's this interesting overlap between personal and professional worlds that is not often there in science.",
Jack Kredell,[00:04:32:00],00:04:50:18,"And and I was wondering, well, while watching you guys, like, you know, maybe this is good for science, actually, maybe maybe the data is is enriched because there's this deep personal connection to the place where it's being understood or collected.",
Colden Baxter,[00:04:50:20],00:05:32:22,"Yeah, I think so. I have learned a lot from Sadako Mitchell, who just passed away a couple of years ago, became a very important mentor to me and friend and, and especially in this place, that sort of multi-generational potential for our community of scientists became was, was realized. But also he was someone who always involved his family in the science that he did, and that resonated with me as well.",community;creativity
Colden Baxter,[00:05:32:22],00:06:07:18,"And I and so I began by bringing my family along and work that we were doing here, you know, in a field station field station context in general, I think lend themselves to that sort of, kind of familial and home connection to place, which is often lost or, or at least is not realized in other, in other contexts.",perspective
Colden Baxter,[00:06:07:18],00:07:01:01,"And that's part of what makes them special. That's definitely true of this place. And I do think that that is a, that is a the science of ecology and, you know, natural sciences in many respects. I feel like our are still very much maturing, evolving and maturing. Ecology is still kind of a young science, but one of its real potential, I think, lies in the possibility of it's becoming a place and community of rooted science, and that is that connects and investigates connections between people and landscapes and so I don't know, this is a bit of a, this is a complicated place to do that because it's wilderness which is meant to be a",community;creativity;growth;wilderness
Colden Baxter,[00:07:01:01],00:07:50:17,"place where people are excluded right in you go to be away from the influences of people and yet the place is, it's a place that we connect to deeply as a community. And so I, I don't know. I work closely with partners with the tribes in Idaho, particularly the Shoshone Bannock Tribes. And over the years I've also learned from my partners that they're my collaborators, that this sort of vision of, of ecology for a variety of reasons, resonates more with them as well.",community;indigenous
Colden Baxter,[00:07:50:17],00:08:19:17,"And I, I respect and appreciate their perspectives on that and I think there's a lot to learn from from that. Ecology actually has a lot to learn from thinking about and casting the work that we do in that sort of context that doesn't separate, we don't separate separate ourselves from the place that we're that we're we're working to understand right?",perspective
Jack Kredell,[00:08:19:19],00:08:51:09,"Maurice Hornocker, when I interviewed him, said that, a good, a good scientist should, should feel or a good field scientist should feel their, their object. And it, what you're saying makes me think that in a sense it's difficult to apply the human sensory apparatus to, like remote sensing data. For example. it's hard to personally connect to it.",
