speaker,timestamp,End Time,words,tags

Lauren Fins,[00:00:00:00],00:00:31:04,"So my name is Lauren Fins, and I was a professor at the University of Idaho and the College of Natural Resources, which probably back then wasn't called the College of Natural Resources. It was probably wildlife, forestry, Wildlife and Recreation, maybe. Anyway, I had heard about Taylor Ranch from probably the time that I first got to Idaho. You know, to the college.",
Lauren Fins,[00:00:31:06],00:01:00:10,"And lots of people were going in there and they were saying how gorgeous it was and what a wonderful experience. And here it is. This station in the middle of a wilderness area. Anyway, I was, I was anxious to just sort of experience it. So at some point, my daughter was either ten or 12. We decided that we would hike in and we decided not to go, that the long road along the river.",water;wonder;wilderness
Lauren Fins,[00:01:00:10],00:01:31:01,"We decided to hike over the mountains and down. And so we hired a plane, landed at Cold Meadows, and then hiked in to Taylor. And it was really a wonderful experience. I mean, it was really remarkable to see the station in the middle of a wilderness area. And I think Janet Pope had started on the new cabin by that time.",wonder;wilderness
Lauren Fins,[00:01:31:01],00:02:01:03,"And if she hadn't already started it, it would come soon after that. And I was I was just astonished that all this research was going on in the middle of this wilderness area, that there was this station with an actual you know, with houses. And it it was so antithetical to my idea of a wilderness area because wilderness areas that I had been in before didn't have structures.",wilderness
Lauren Fins,[00:02:01:05],00:02:18:14,So it was it was an interesting blend of serving the scientific purpose and this wilderness station that that we could learn so much from.,wilderness
Jack Kredell,[00:02:18:16],00:02:26:14,Was it the wilderness experience that that motivated you and your family to want to hike in? Were you kind of seeking that?,
Lauren Fins,[00:02:26:16],00:02:52:15,"Yeah. Yeah. Dave and I had hiked in Desolation Wilderness when we were in California, and I just loved that experience of just being away from people. Of course, in Desolation, you're not really away from people very much, but there are moments. There are moments. Yeah. This whole idea of wilderness is just really intriguing and appealing to me. I mean, you can see where I live.",wilderness
Lauren Fins,[00:02:53:10],00:03:22:22,"there aren't a lot of houses around here. There aren't a lot. There's not a lot of traffic. I like the quiet, so that I that idea of being in the middle of this amazing, huge number of acres, miles and miles of no traffic except the occasional airplane was was really intriguing. I mean, I wanted to be there.",aviation
Lauren Fins,[00:03:23:00],00:03:43:08,"And, and so I think part of the appeal of doing the whitebark pine research that we did later was that we would be able to do it in the middle of this wilderness area. So it doesn't get better than that.",wilderness
Jack Kredell,[00:03:43:10],00:03:49:18,Do you remember anything about the hike in anything you saw animals or.,
Lauren Fins,[00:03:49:20],00:04:21:16,"We didn't see a lot of critters going in. It was arduous. I remember it was arduous. And we were carrying I was probably carrying 50. Dave was carrying 75, Tracy was probably carrying 35lbs, and then Dave had to offload about 10lbs to Tracy because I couldn't carry anymore than I was already carrying. So I felt I feel really guilty about loading this extra 10lbs on our ten year old, ten or 12 year old.",
Lauren Fins,[00:04:21:16],00:04:53:03,"But Dave couldn't do it anymore because he had the shin splints. So do you remember that? That was a that was a tough thing to do, but just hiking and, you know, just the experience of going through the woods and and and again, the quiet of that and the sense that, you know, you're making progress toward this end and and yet you're in the middle of nowhere.",
Lauren Fins,[00:04:53:05],00:05:04:09,"Yeah, it was late, but we didn't I don't remember seeing critters we did later.",
Jack Kredell,[00:05:04:11],00:05:05:19,You mentioned rattlesnakes.,
Lauren Fins,[00:05:05:20],00:05:38:13,"Yeah. Yeah, they're along the river. There's a huge number of rattlesnakes and and, probably in my memory, this rattle, this one rattlesnake has gotten exaggerated, but it seems to me it was this big around, and and I saw it sort of literally snake in, you know, out of the grass and back in again and just scared the bejesus out of me.",water
Lauren Fins,[00:05:38:15],00:06:09:07,And Holly had anybody that came to the camp had to do work you had to sort of earn you keep and so she had us pulling spotted and that we nap we'd so she had a project where she was measuring how much nap weed was there and how it decreased over time. So every year she had whoever was there and the interns that were there would pull nap weed and put it in big plastic bags.,
Lauren Fins,[00:06:09:07],00:06:32:00,"I don't know if she told you about this, the big black plastic bags. And then she would keep track of how many per year. So I was there, my daughter was there, and my daughter told me later that I almost stepped on a rattlesnake when I was in there pulling knapweed. And she saw it and Holly saw it.",
Lauren Fins,[00:06:32:02],00:07:01:07,But they didn't tell me because they were afraid that I would scream and jump and startle the snake. So I was just blithely pulling half without noticing anyway. Yeah. And I also remember there was I think he was an undergraduate student who was looking at how far the rattlesnakes travel from their nest. Did they tell you about that?,
Lauren Fins,[00:07:01:09],00:07:25:04,"And and at the time that I was there, he had measured a distance of I think it was two miles, which was way farther than they ever thought, that rattlers traveled from their nest. So what what a great project for an undergraduate for anyone, actually, but particularly for an undergraduate.",
Jack Kredell,[00:07:25:06],00:08:03:10,"Yeah. Holly and Jim are both really big on, a wilderness or an experiential education. They're always referring to all Idaho. And in their conversation about Taylor, about about wanting to teach, like the old ways of, of self sustenance, whether it's hanging with a team of mules or just, teaching like basic hydrological principles and, all that stuff.",wilderness
Jack Kredell,[00:08:03:12],00:08:11:00,"And, did was that ever discussed with you guys or was it just, it was just like work?",
Lauren Fins,[00:08:11:11],00:08:39:10,"well, we could see that. And, and I knew that they were doing that with the students and I didn't have to do any of that. But yeah, I was, I was just astonished at how they could make a life out there. You know, some supplies were brought out. Obviously, some supplies were brought in, but they were just really making it work and they would stay there for months at a time.",
Lauren Fins,[00:08:39:12],00:09:07:08,"And, made a life there. It was it was remarkable. And and they were teaching students how to bridle animals and how to hook them up. Yeah. Just how to be more self-sufficient. I'm sure for those students, it was life changing.",
Jack Kredell,[00:09:07:10],00:09:31:07,"To Taylor is, as you've kind of noted, it's a place of comings and goings, people flying in and out all the time. Yeah, with the exception of Jim and Holly or whoever is managing it. and I'm wondering what, what stays with you when you're when you leave Taylor and you've, you've gone back to civilization. Is there anything that remains with you?",aviation;wonder
Lauren Fins,[00:09:31:09],00:10:46:05,"How? Well, you know, using Taylor as a base, I was able to get to the whitebark pines and their higher up. And just being in that environment is an inspiring, so just, this is going to sound weird, but it just feeds my soul and it's very emotional. so to, to be able to have a place that you can fly into, which still astonishes me and use that as a base and, and then be able to hike up in just a few hours and be in those high places with those very old amazing trees that don't they don't grow everywhere, you know, And and they're also in danger because the people thought that",wonder
Lauren Fins,[00:10:46:05],00:11:22:09,"they didn't get blister rust because blister us hadn't reached the higher elevations yet. But when we were there we we did see blister rust. So to know that they were in danger also, it's a keystone species. So to know that I was there, that, that I got to be there, experience those that environment, those trees while they were still there is, is pretty amazing.",
Jack Kredell,[00:11:22:11],00:11:49:14,"Was that so is blister rust. and introduced it was yeah. It's, it that makes me think of wilderness again and that it's it's a space that we've defined as untrammeled by man. Yeah and here you are probably on the top of Dave Lewis Peak or somewhere. Yeah. Way up there. Yeah. I mean, that's, that's a good hike to get to the whitebark.",wilderness
Jack Kredell,[00:11:49:19],00:11:54:22,"Yeah, It's like, I don't know, 3000, maybe 4000 feet of elevation.",
Lauren Fins,[00:11:54:23],00:12:02:07,"That was a that was a tough hike. I only did that once, but my student did that more than once.",
Jack Kredell,[00:12:02:09],00:12:17:09,"And here you are. You get to the top after a couple of hours and there's blister rust, and it beat you to the peak and it was introduced by by somebody, even though we've we've excluded them in the abstract from wilderness.",wilderness
Lauren Fins,[00:12:17:11],00:12:19:13,Yeah.,
Jack Kredell,[00:12:19:15],00:12:25:08,"Well, what is that. What does that say about our idea of wilderness. Yeah.",
Lauren Fins,[00:12:25:09],00:13:14:19,"Well, I. I probably know too much because the whole idea of wilderness is sort of pseudo European, you know, white person, colonial kind of concept. Because Native Americans were here long before we were. And and so that's one thing. And, and the idea that landscapes remain unchanged for eons of time is ludicrous. Anybody who knows anything about ecology and succession knows that things change over time.",indigenous
Lauren Fins,[00:13:14:21],00:14:04:08,"So that's one thing. But the fact that blister rust was introduced and did so much damage in such a short period of time is disheartening. You know, with certainly in western White Pine, we've changed those the Idaho forests enormously through blister us and then also through harvesting of course. I don't think that blister rust is going to do as much damage in whitebark pine as it did with western white pine, because I don't think blister rust is happy up at those elevations.",
Lauren Fins,[00:14:04:10],00:14:55:02,"But still. Yeah, it's sad. It makes me sad for lack of a better that's not very eloquent, but yeah, it's disheartening. On the other hand, there's still there is still there and nature does have a way of rebounding. and it may not be the same as what it was, but but it comes back, you know, that idea that nature abhors a vacuum.",
Lauren Fins,[00:14:55:04],00:15:03:22,That's really true. So it would be interesting to come back in 100 years to see what it looks like.,
Jack Kredell,[00:15:03:22],00:15:17:02,"Then You were there. Were you there before the fire? In the fire was 2000, 2001.",
Lauren Fins,[00:15:17:04],00:15:19:09,2001,
Jack Kredell,[00:15:19:11],00:15:22:02,Diamond point or the Diamond Creek fire?,wildfire
Lauren Fins,[00:15:22:02],00:15:46:01,"Yeah, I'm so I remember. I remember Jim and Holly telling about the fire. Let me. Okay, so it was in 2001 and this. So that's 21 years ago. And my daughter's 36, so she would have been 15. So we were there before, before the fire.",wildfire
Jack Kredell,[00:15:46:03],00:15:50:23,"So you need to go back. Yeah, it's already happened. The thing.",
Lauren Fins,[00:15:51:01],00:15:58:18,"That's true. Yeah. Yeah, that's right.",
Jack Kredell,[00:15:58:19],00:16:05:03,"My, my idea of Taylor is completely different from yours for that reason.",
Lauren Fins,[00:16:05:05],00:16:09:16,So can you tell me what you see?,
Jack Kredell,[00:16:09:18],00:16:44:02,"When I. When I first climbed the cliff above Cliff Creek, opposite Taylor to. To get a good look at the the pioneer drainage. Yeah. I don't think I saw any standing timber. I saw standing dead, but I don't think I saw any live timber. There is some. Wow. But it's in very, very small pockets. Higher up.",
Jack Kredell,[00:16:44:04],00:16:49:06,"But it's, it's completely nuked. caught fire.",
Lauren Fins,[00:16:49:07],00:16:54:14,So did it go into the whitebark pine? Did it get that high?,
Jack Kredell,[00:16:54:15],00:17:17:03,"Yeah, I got high. Yeah. I don't know. I didn't get it. I think it's the top of. Of Denver, so I was there. I didn't get above. I don't think I got above 7000. I was just running around trying to get interviews. Yeah, but I feel like you guys should go back.",
Lauren Fins,[00:17:17:05],00:17:22:16,"Yeah, and I'm trying to remember when Ben graduate. Did you talk to Ben?",
Jack Kredell,[00:17:22:18],00:17:25:12,"I emailed Ben. I didn't get a response, but I'll. I'll find another.",
Lauren Fins,[00:17:25:12],00:18:02:10,"One. Yeah. I'm trying to remember when when he graduated because I retired in 2012 and I retired in 2012. I'm trying to remember when Ben graduated and I'm thinking it was 2008, in which case I would have been there. But I don't remember the devastation. I don't remember seeing that. But I should go back anyway. The canon's still there.",wildfire
Lauren Fins,[00:18:02:13],00:18:10:16,"I think it didn't it didn't harm Taylor Ranch, Right. It didn't get into Taylor Ranch. They protected Taylor Ranch. Right.",wildfire
Jack Kredell,[00:18:10:18],00:18:14:00,There was only one minor structure that burned.,wildfire
Lauren Fins,[00:18:14:05],00:18:16:06,Yeah.,
Jack Kredell,[00:18:16:08],00:18:19:08,Yeah. It almost got Jim and Holly.,
Lauren Fins,[00:18:19:10],00:18:30:13,"I know. I remember them. I remember Holly was out in the field, and she covered herself with wet blankets. And she was with somebody else. Yeah, it was scary.",
Jack Kredell,[00:18:30:17],00:18:41:14,"Yeah, it was a close call. Yeah. Yeah. can you maybe just briefly summarize the research you were doing up there?",
Lauren Fins,[00:18:41:16],00:19:33:20,"We were trying to just get a baseline measure of how much blister rust was in whitebark pine and as many populations as we could reach. and just look at levels and variability across the, the Frank Church, that would That's it in a nutshell. and we also looked at Mountain Pine Beetle as well, so yeah, that was and we looked at regeneration also to see how much regeneration there was and whether the less stressed had gotten into the region.",
Jack Kredell,[00:19:33:22],00:19:37:02,"Do you remember what you, what you guys found?",
Lauren Fins,[00:19:37:04],00:20:01:21,"I knew you were going to ask me that and I was going to look at Ben's thesis and I forgot to do that. So, I mean, what I can tell you is that it was there, it was present, it was variable. Some populations had very little, some had more. it wasn't like western, white, white pine where it was, you know, in some western white pine populations.",
Lauren Fins,[00:20:01:21],00:20:13:23,"It's just essentially wiped out the entire population. It wasn't at that level. So if you if you want to pause, I can go and look.",
Jack Kredell,[00:20:14:07],00:20:23:03,"well, is that because of the the elevation or the the temperature you think and not something to do with the host or.",
Lauren Fins,[00:20:23:05],00:21:05:11,"No, whitebark pine is very susceptible. It's susceptible. But I think the blister rust isn't happy or doesn't have the conditions for infection as often. It needs moist sort of foggy conditions to germinate generally in the fall. I think the alternate hosts are there, but it just I think it's moving slower. And again, I haven't been there, I haven't been back there and I don't know how much it's invaded since we were there.",growth
Lauren Fins,[00:21:05:13],00:21:12:10,"And I don't know if anybody's been back to, to re monitor.",
Jack Kredell,[00:21:12:12],00:21:20:08,There is somebody doing a research out there on white parks named John Idle.,
Lauren Fins,[00:21:20:14],00:21:21:16,yeah.,
Jack Kredell,[00:21:21:18],00:21:30:19,But I think it's is his research is kind of sporadic and I don't know if it's ongoing or not.,
Lauren Fins,[00:21:30:21],00:21:33:05,Okay. But I should get in touch with him.,
Jack Kredell,[00:21:33:10],00:21:33:19,Yeah.,
Lauren Fins,[00:21:34:01],00:21:57:14,"And because we've got all the GPS coordinates for the the stands that that Ben looked at and so if John is doing any sort of monitoring, he'd want Ben's work as, as a baseline to see how things have changed.",
Jack Kredell,[00:21:57:16],00:22:19:03,"Yeah. Yeah. So, when you were there, did you encounter signs of, the indigenous presence?",
