speaker,timestamp,End Time,words,tags

Jack Kredell,[00:00:00:00],00:00:17:12,"You've witnessed a lot of environmental change in your lifetime, and I was wondering if you could talk about the effect of the Snake River dams on the salmon population of Big Creek. Did you notice any changes?",water
Maurice Hornocker,[00:00:17:17],00:01:05:16,"Yes, unfortunately. I first drove in the big creek in July of 64, a long time ago. You could hardly stand the smell in the flats there above the gate Ranger station. Rotting salmon. Creek was littered with dead salmon. Any of those views? You get the creek from the road, choked with salmon. The willows were full of coyotes, scavenger birds, ravens, magpies, bears all along there.",
Maurice Hornocker,[00:01:05:18],00:01:35:21,"It was routine. Routine down at Taylors. I hiked the creek that summer just to meet the residents Dewey Moore, John Bines, Rex Lanham, the Taylors, and got down to Taylors and they invited me to spend the night. I just backpacked, spend the night. And they said, Well, we'll go down and get a salmon and we'll have poached salmon for breakfast.",
Maurice Hornocker,[00:01:35:23],00:02:18:19,"So we just walked down the creek and bang, nice. 12 £14 salmon. Dorothy I had poached salmon for breakfast. Creek was full of them. I saw that last for quite several years. And I was full time working in there. And by full time, I mean, I was in the country that whole span of years from from 60 the winter of 64 on through 72 and three. The summer of 72.",
Maurice Hornocker,[00:02:18:21],00:02:47:04,"John Messick and I sat down there above the Cox's hole and counted some 80 salmon in Cox, a whole big one. This was a second run. There were two runs in Big Creek, the Middle Fork and Big Creek. One run came in in June, mid to late June. The other in in July and early August. And they were the bigger ones.",
Maurice Hornocker,[00:02:47:06],00:03:21:19,"They were always big. But then that was the year I think the Lower Monumental went in the last day and Lower Monumental. The last one. Grab it, ran it. Yeah, that was it. Next year, just no one knew where the salmon were. Salmon were coming and that was the pattern. Since then, a few get a few, but nothing like it was those early years.",
Maurice Hornocker,[00:03:21:21],00:03:40:11,It was just as though that they'd closed the door one nail too many and the coffin. But people can't believe it when I tell them about Big Creek in the mid sixties. But that's the way it was.,
Jack Kredell,[00:03:40:13],00:03:44:01,"I, I couldn't believe it.",
Maurice Hornocker,[00:03:44:03],00:04:10:23,Yeah. Rex Lanham would fly fishermen in the Cabin Creek and they'd go down there. And I met forum coming out and lugging all these big salmon. I have photos of them somewhere in my piles. But it was routine. Yeah. It's a shame.,
Jack Kredell,[00:04:14:08],00:04:21:09,I want to talk about Wilbur for a little bit.,
Jack Kredell,[00:04:21:11],00:04:55:14,"Science today is done in a very different manner than how you and Wilbur did it in the sixties and seventies and maybe even before that. Could you talk just about the. The logistics and the nonscientific backcountry knowhow that was required to perform the science that you did through through men like Wilbur Wiles?",
Maurice Hornocker,[00:04:55:15],00:05:2:14,"Well, radio telemetry had just come in. We were the Craighead brothers were the first to develop it for big mammals. It had been developed back in for mammals of cottontail. Rex Lord did it back in Illinois, but it was from Towers. There was no mobile radio tracking system. I didn't have the funds to get into radio tracking in the early years of the project.",
Maurice Hornocker,[00:05:25:16],00:06:01:04,"The money just wasn't there. So we had to employ Mach and release. No one had ever done that. It was a common technique with small mammals. They either clipped ears, notched ears, clipped toes on mice and chipmunks, stuff like that to market animals to determine the you might say, the social structure of a species. How many doctors, how many lawyers, how many plumbers, how many schoolteacher was lived in a different community, what the age structure was, how many kids they had.",
Maurice Hornocker,[00:06:01:08],00:06:39:10,"All of that prior to marking animals you didn't know, You couldn't tell an animal from any other. You couldn't make any determinations. So we had to mark the the Cougars and the way to do that is with cougar hounds. Wilbur had them, we just treated them, immobilize them, and I earmarked them with cattle tags and put rope collars on them, polyethylene rope collars, as as a precursor to radios that I hope to get on a later stage.",cougars
Maurice Hornocker,[00:06:39:12],00:07:11:23,"So through that process, we had to cover a lot of miles. And to do that, Wilbur's a write off When I met him and I knew he was a guy I wanted as a partner. He said, Most of these stories you hear from old lion Hunters about following a lion for two weeks or a month. And finally again is B.S. said to really keep going in the backcountry, there are two things you have to do well, sleep and eat.",routine
Maurice Hornocker,[00:07:12:01],00:07:35:05,"You have to sleep well. You have to eat well. And to do that, we set up different camps. We had seven camps at one point, from Waterfall Creek to Monumental Creek. So we weren't more than six or eight miles from any camp when night fell any night. And a lion can take you through a couple of drainages. He could take you a long way in a day.",routine
Maurice Hornocker,[00:07:35:07],00:08:02:05,"And if you only had one camp, you might be a long, long way from home. So you got to go back, go to a camp and and rest and eat to go the next day. And that was a great lesson from Wilbur. He taught me more about living in the backcountry than than John and Frank did. Even though they set up the survival school for the US Navy.",
Maurice Hornocker,[00:08:02:07],00:08:27:21,"They were young officers in the Navy. The Navy assigned them to train Navy pilots for survival and and crash landings and all of that. And they worked out of call back at Chamberlain Basin. That was their headquarters. And but anyway, that was short term survival. This is long term. All winter. So you had to stock all these camps in the fall.",
Maurice Hornocker,[00:08:27:23],00:08:59:05,"You had to set them up and bear proof all that. Our biggest enemy were flying squirrels. They had we used Old Navy, a rubber Navy surplus bags to store dog food and food for us. Big poles on trees and flying squirrels would fly in their glide in there. On top of those to haul through that heavy rubber. And then, of course, snow would accumulate in there and ruin everything.",
Maurice Hornocker,[00:08:59:07],00:09:25:13,"But anyway, that was life in in in the wilderness. And I had to stock a lot of dog feed. We did that in October prior to the season. We'd use Wilbur's elk tag and wild tag and sometimes a deer tiger, too, for meat. And we'd kill those after it got cold enough to keep the made through winter and we'd hang that.",wilderness
Maurice Hornocker,[00:09:25:14],00:09:59:14,"And so we had good fresh meat, you might say frozen fresh meat all winter long. it's a different life than than modern quote. Modern biologists live anymore. A few do. But the old boots on the ground has given way to the computer, to G.P.S., to satellite imagery, to all of that. And and it's. It's a wonderful technique.",wonder
Maurice Hornocker,[00:09:59:14],00:10:28:11,"It's wonderful technology. You can get information that's just we couldn't at all because you can monitor an animal, you know, 24 seven And, but how you interpret that information is so important. All you get on that computer screen is what's happening in front of that camera. You're not aware of what went on out here prior to that activity on the screen.",perspective
Maurice Hornocker,[00:10:28:17],00:10:52:05,"You're not aware his failures and successes over here? You're not aware that he avoided the big lion over there and made the turn around here. You're not aware how he tracked that elk and made the final stop all of those things that are so important to his livelihood, to that individual on the screen's livelihood, you can't interpret that.",perspective
Maurice Hornocker,[00:10:52:07],00:11:27:07,"An example is the Jackson Hole study, which I initiated because we had this beautiful 14 year study out of Yellowstone, a regulated environment for all the animals. National Park Service, no hunting, no all natural, quote, natural. Jackson Hole has tons of things going on. Human activity from thousands of snowmobiles, backpackers, International Airport. You've got a number of different agencies managing the land there.",
Maurice Hornocker,[00:11:27:12],00:11:52:06,"You've got cattle ranches, you've got outfitter and hunting and all of that. You also have all of the wildlife component from Yellowstone. It's actually the same ecosystem. How do those careers get along? Their stressed they're stressed by wolves, they're stressed by grizzlies stealing there. But they do that in Yellowstone as well. But they make out quite well.",wolves
Maurice Hornocker,[00:11:52:08],00:12:22:17,"So lions, just like bears converging on a salmon stream, spawning salmon extreme and becoming, quote, social, getting along with that food source like we had on the dumps in Yellowstone way back in the sixties. But then as soon as that food source is gone, they go back to their solitary way of life. Well, cougars cooperate in Jackson Hole and feed on similar kills.",cougars;water
Maurice Hornocker,[00:12:22:23],00:12:51:15,"They get along because they're stressed. They they are trying to make a living. And wolves are chasing them off a kill all winter long. They're avoiding all those snowmobilers and all of that activity. And and it's tough for them. So they make do the best they can. But it was interpreted as social behavior. Well, it's a form of social behavior.",wolves
Maurice Hornocker,[00:12:51:15],00:13:40:14,"But look at Webster. Social behavior means cooperating in a in a group fashion and a group way like bison, like elk, like blackbirds, like so-and-so. So the interpretation is all important with digital age biology. And and I am happy that that many biologists are aware of that. And they do ground checks, they do that. They are aware that that human pro the example I use is a Leopold who was a young predator hater, and he and his companions shot this old she wolf and her pups, and they got to her before she died.",wolves;perspective
Maurice Hornocker,[00:13:40:16],00:14:12:02,"And he watched the fire go out of her eyes as she died. Changed his whole conservation ethic on the screen. He wouldn't have seen that. Wouldn't Annie, a young biologist. I encourage him to to acquaint themselves with the landscape, feel it, feel it. Tough to do in an office.",perspective
Jack Kredell,[00:14:12:04],00:14:15:17,Not many people can make their own snowshoes.,
Maurice Hornocker,[00:14:15:19],00:14:17:15,Well.,
Jack Kredell,[00:14:17:17],00:14:20:23,Like you and Wilbur did.,
Maurice Hornocker,[00:14:21:00],00:15:16:15,"Yeah. Well, it wasn't any big deal. We just did it. Yeah, I sure miss him. I think of him every day. Ooh. He was like, again. He was like a brother. And this was a big hole above Taylor Ranch as a 19 pounder, we'd go to the middle for it. every march for our spring tonic. And we had a camp at Waterfall Creek, and we catch those Wilbur called red sides.",
Maurice Hornocker,[00:15:16:15],00:15:33:02,"He got cutthroat red sides. All the backcountry people did. And so we added red sides for a few days, called it our spring tonic. That was a beautiful fish.",
Jack Kredell,[00:15:33:04],00:15:33:20,The big fish.,
Maurice Hornocker,[00:15:34:01],00:16:27:10,"There were lots of them. Lots of them in early seventies. Again, John Messick and I, who counted the the fish, the salmon in Cox, the whole I was grooming him to take to Africa for a leopard study. And he had worked a couple of summers on the on the track and cougars after we put radios on them, which by the way confirmed all our conclusions from from the mark recapture the home ranges that the they respect one male would have for the other male territory resident male.",cougars
Maurice Hornocker,[00:16:27:12],00:16:49:12,"But they didn't respect you know, transients or strangers. But they would the the neighbor. And but and that was true in New Mexico as well. There's other stories there. But anyway, yeah, where was I going with this?",
Jack Kredell,[00:16:49:14],00:17:04:09,"You were, you were talking about Wilbur and kind of what what what modern technologies failed to pick up. And in comparison with boots on the ground sometimes.",
Maurice Hornocker,[00:17:04:15],00:17:09:10,"Yeah, I've still lost.",
Jack Kredell,[00:17:09:12],00:17:14:05,But it sounds like Wilbur was the consummate outdoorsman.,
