speaker,timestamp,End Time,words,tags

Gary Koehler,[00:00:00:00],00:00:52:08,"Yeah, well, I'm Gary Koehler and I got involved in actually, I started dreaming about big Creek and that Taylor Ranch probably after 1969 when Maurice wrote the article about the coolest cougar study in the National Geographic. I had a copy of that, and I think I still have that copy and it was enchanting to me to be in the midst of that such a huge wilderness area and to do the work that he did, he and Wilbur were doing on cougars or mountain lions, as they're referred to here and and Idaho.",cougars;wilderness
Gary Koehler,[00:00:52:10],00:01:39:23,"And I remember this picture in the National Geographic of Wilbur lowering this cougar that had been mobilized and and this big Ponderosa pine tree. I mean, and that just kind of set the I still have that image in my mind, that beautiful big Ponderosa in particular and the cat and the fact that Wilbur was up there and luring this cat out of this tree and so I had that in the back of my mind that, you know, this is what I it planted the seed, I think, in me about something to aspire to.",cougars
Gary Koehler,[00:01:39:23],00:02:23:10,"And I had worked in the North Cascades since 1965 on trail crew for the Forest Service and when what was called the North Cascades primitive area and and I kind of followed I wanted to see the whole North Cascades. So I worked on different Ranger districts in that backcountry. And I was kind of running out of room. In 1969, a big chunk of the the heart of the North Cascades was Mid North Cascades National Park spent a year there and didn't really like the bureaucracy.",
Gary Koehler,[00:02:23:12],00:03:01:14,"And so I think it was about that time too, that Morris's article in The Geographic came out. So I thought, that might be kind of fun to explore. The the Northern Rockies area, particularly the backcountry of Idaho. And so I headed that way again with the vision of Wilbur coming out of that big Ponderosa with that cat and I ended up working for the Forest Service as a wilderness ranger in the Selway Bitterroot.",wilderness
Gary Koehler,[00:03:01:16],00:03:33:09,"And then flew into Moose Creek and for a detail or training session. And that's on the Selway Bitterroot are in the Selway River and fell in love with that place. I mean, a ranger station out in the middle of an immense wilderness like that is pretty enchanting. So. So I applied and got a job the next year at Moose Creek as a wilderness ranger.",water;wilderness
Gary Koehler,[00:03:33:11],00:03:59:07,"And then after stumping around that country, exploring and surveying for outfitter camps, I was in the higher elevations of Fish Creek or Fish Lake on the divide into the loch saw drainage. And I thought, I'd like to spend the winter up here. There was an old cabin back there, so I kind of knew nothing about Pine marten.",
Gary Koehler,[00:03:59:07],00:04:30:23,"I thought, this might be kind of fun to do a Pine Martens study up here, having no idea what a pine marten did. And so some colleagues at the Forest Service fire science lab there in Missoula approached Maurice about taking me on as a grad student. And so that was kind of my first official introduction to Maurice.",
Gary Koehler,[00:04:31:01],00:05:04:14,"And and he supervise my work and me in the Selway Bitterroot wilderness doing the winter work on on Pine, Marten and, and, and so after that, I was kind of after I got my master's degree, I was kind of footloose and not fancy free. I just kind of wandering lost. And a couple of years later, Maurice called and he says, Do you want to do a Bobcat study?",wilderness
Gary Koehler,[00:05:04:14],00:05:38:21,"And and Taylor actually said, Yeah, that sounds interesting. And mainly my interest was in just being back there in the wilderness and I spend a couple winters back there again, being under the tutelage of Maurice Hornocker, the I mean, he was the top carnivore ecologist in North America or one of the and I mean, couldn't pass up an offer like that.",wilderness
Gary Koehler,[00:05:38:23],00:06:12:10,"So so I embarked on a four year study back there out of Taylor Branch looking at Bobcat and also it evolved into looking at the interactions of the other top predators back there and and that's the coyote in the mountain lion or the cougar. And so I spent four, four winters four years back there collecting data. And I didn't come out that frequently.",cougars;growth
Gary Koehler,[00:06:12:11],00:06:52:21,"Mona was back there with me at that time, and we lived in one of Jess Taylor's cabins and spent four years working there in the winter time, which was a neat time of the year. That's obviously the the epic wilderness experiences being in an area like that in the winter and got my Ph.D. on Bobcats wrote a couple of papers on that, and as well as the interactions of bobcats and coyotes and cougars.",cougars;wilderness
Gary Koehler,[00:06:52:22],00:07:34:15,"And so it was about 20 years after Maurice did his work in Sixties there. And so I was in there in the eighties, and I and so that's how I got involved with Maurice and that's how I got involved. The Taylor Ranch kind of not by design, but just kind of stumbling into those opportunities. And they've obviously planted a seed for me to continue to work more with the top carnivores, top predators in on the planet.",
Gary Koehler,[00:07:34:17],00:08:10:10,"And I've spent some time in Kenya teaching at a university there developing a a program, wildlife program and a graduate program. There, and also spent some time in later years, well after that, working for the Department of Fish and Wildlife and Washington State, doing black bear studies, doing cougar research, and also Canada Lynx up there in the Okanagan.",
Gary Koehler,[00:08:10:12],00:08:48:05,"And after I kind of mingled that with a little bit more international work, spent some time working with snow leopards in Mongolia and Nepal and India, Himalayas and so and during that, prior to that, I also did some surveys for tigers and central China, south central China. And so I was intrigued by cats. And Maurice obviously helped found that interest.",
Gary Koehler,[00:08:48:07],00:09:09:12,"And so I kind of hung around Maurice and, and his philosophy, I think the probably what you may hear you've already heard from Maurice because that's the way life works. You know, he was my mentor for a good number of years and still is.",
Unknown,[00:09:09:18],00:09:16:15,Also is great. Let me just back.,
Gary Koehler,[00:09:16:17],00:09:19:11,You about back.,
Unknown,[00:09:19:12],00:09:23:21,To say biographer by trade.,
Gary Koehler,[00:09:23:23],00:09:30:09,Thing I stumbled into yeah kind of like me life.,
Jack Kredell,[00:09:30:11],00:09:33:21,You know it's none of our trade.,
Gary Koehler,[00:09:33:22],00:09:36:03,Making do yeah.,
Jack Kredell,[00:09:36:05],00:09:37:13,Or it's not our trade by choice.,
Gary Koehler,[00:09:37:19],00:09:47:13,Yeah.,
Jack Kredell,[00:09:47:15],00:10:24:19,"To go back to that that idea of a kernel and this image of of Morris climbing up a Ponderosa to winch your rope down this, this tranquilized cat. What, what is that the essence of this kernel for you do you think is it about like what is it something to do with with predators and just this this idea of wilderness or what Like what do you think is at the center of that kernel?",
Gary Koehler,[00:10:24:21],00:11:04:19,That's a great question. And it's something that I really haven't thought about before. But I think that now that you've got that image of that Ponderosa pine in that cat coming out of that tree in the middle of the what was then the Idaho primitive area kind of encapsulated everything that I and I had spent my life in the Forest Service working in wilderness areas in the North Cascades and and so I was really always stimulated by wild areas and kind of fancied myself as a devotee or this is what I want to do with my life.,wilderness
Gary Koehler,[00:11:04:21],00:11:43:11,"And I met a lot of interesting folks in those wanderings. And so I think it was the mix of the wilderness, the wildness. I mean, in the basically the pureness of the planet in that area. And also with the cat. The cat is the quintessential predator on this planet. And, you know, we humans are predators, too. And I think that and I like to hunt and I like to fish.",wilderness
