speaker,timestamp,End Time,words,tags
,,,,
Ed Krumpe,[00:00:00:00],00:00:28:05,"So Taylor Ranch is a private inholding in almost the middle of the Frank Church River of No Return wilderness. And so it was you know, it was a homesteaded piece. And so when that area became Wilderness with the Central Idaho Wilderness Act in 1980, there were quite a few of these ranches or outfitting places that were privately owned.",government
Ed Krumpe,[00:00:28:07],00:01:00:23,"And so they remained so. So it's a privately owned 64 acres within the wilderness. But to put that in perspective, the Frank Church River of No Return Wilderness is 2.43 million acres. Now, what's that mean? Well, that's over 3,600 square miles of land without a road. So the only access is by the Middle Fork of the Salmon or the Main Salmon or hiking in.",water;wilderness;perspective
Ed Krumpe,[00:01:01:01],00:01:29:17,"But for trail access someone used to drive to McCall and then 87 miles of gravel to get to the Big Creek Ranger Station and then about 30 mile hike down to Taylor Ranch. And when it's one, it's the most remote, continually inhabited place in the lower 48 United States. Now, Yellowstone will claim that their Beckley Ranger station is the most remote.",
Ed Krumpe,[00:01:29:18],00:01:55:13,"But they don't have people there year round. And what makes us even more remote is you have trail access and a 30 mile hike in, but only for three months or so of the year, because then the snows come and high mountain passes get closed. And so those roads are closed. And so about seven or eight months of the year, you're about 100 miles from the nearest drivable road.",wilderness
Ed Krumpe,[00:01:55:15],00:02:29:04,"So that's remote. And that's part of what makes this place so special for an educational opportunity is that wilderness is so large. 3600 square miles. But then right above it, to the north of it is the Gospel Hump Wilderness. And almost attached to it is the Selway Bitterroot Wilderness, which is 1.2 million acres. And then surrounding that are roadless acres that the Forest Service by law cannot log or change or build roads in.",wilderness
Ed Krumpe,[00:02:29:06],00:02:59:09,And without doing a complete EIS this takes an act of Congress. And so you have roadless land that makes like 6 million acres of practically pristine land. It's so large with this research station in the center of the wilderness. And that area is so large that there are big game herds that go through a migratory pattern and never step foot outside of the wilderness.,wilderness
Ed Krumpe,[00:02:59:11],00:03:38:21,"So that that just gives a unique research and educational opportunity that doesn't exist anywhere else and anywhere in the world, actually. It's just amazing. So the university operates it. They have year round a manager and caretaker that takes care of the place. They have classes that come in. Student interns come in for different periods. And then in the fall Semester in the Wild, in which usually about a dozen students sign up and they're in there taking about 14 to 17 hours of college credit.",
Ed Krumpe,[00:03:38:21],00:04:17:19,"And the faculty come and go, but they're in the wilderness living in log cabins. Well, actually in canvas wall tents, but for the whole semester. So that's a pretty unique opportunity and experience. And then, of course, there's other just full time science projects and scientists that are in there. Idaho Fish and Game fro,m our property, has a fish trap that about nine months of a year or more they, they trap out-migrating steelhead and salmon smolt. They anesthetize them.",wilderness
Ed Krumpe,[00:04:18:00],00:04:41:05,"They put a pit tag in their nose and then they take half of them upstream and other half they let go so that they have a capture recapture estimate. And they do this to 7 to 9000 fish every year. And those go all the way to the ocean. And every dam they go through there, the tag triggers a counter, there's a number in the tag.",water
Ed Krumpe,[00:04:41:07],00:05:16:03,"And those that come back, you can track that. So it's it's a pretty amazing place, an opportunity for doing research, for doing research in natural areas that are not affected by logging, factories, smog, you know, power lines, or mining that's just miles from you. So it's a it's a wonderful comparison. I mean, we still need to do research on our national forests and national parks and stuff and rangelands outside.",wonder
Ed Krumpe,[00:05:16:05],00:05:34:04,"But here we have a comparison with how natural ecosystems are functioning and processing and fish and wildlife are coming and going in an area like that. So that's that gives you a real value, the real value to it, the unique educational value.",
Jack Kredell,[00:05:34:06],00:05:52:06,"Yeah. And you mentioned how how this educational value extends beyond just scientific research. I'm wondering if you can talk more about this, what it's in the sense of what what can Taylor teach us that might apply outside of Taylor?",
Ed Krumpe,[00:05:52:08],00:06:17:21,"Well, so for one thing, I mean, we get to see how these these wildlife populations, how they interact, how the streams interact with -- We've had major, major forest fires come through that area and we've seen Big Creek run black with charcoal. And you would think it would kill everything even the fish. We now know they just go down and they find out where there are springs coming in.",water
