speaker,timestamp,words,tags
Jack Kredell,[00:00:00:00],What stays with you when you leave? Taylor?,
Ed Krumpe,[00:00:07:11],"What stays with you when you leave Taylor? I think what stays with you is you have a new appreciation of the grandeur and size of this wild landscape. I mean, people see the word wilderness on a map and they maybe have done some backpacks and, you know, a ten or 15 mile backpack. And that's still big country. But this is big, wild country.",wilderness
Ed Krumpe,[00:00:31:20],"There's a major trail down Big Creek. And boy, that's about it. And they will probably have seen wildlife and signs of wildlife or some carcasses from either a wolf or cougar kill. So I really think that when people come out, they they have a new appreciation for that. The grander and the remoteness of these uninhabited places. And we have a legal designation for that is called wilderness place man as a visitor doesn't remain and places are untrammeled, which means uncontrolled by man.",wolves;cougars;wilderness
Ed Krumpe,[00:01:09:22],"I mean, the biggest change in my career of going into there for 40 some years has been the fires and fires a natural part of the wilderness landscape. But had been suppressed for many years. And so when we did have the fires of 2000, they were huge. I mean, they were 100,000 acre conflagrations. And so places that I remember hiking in dense dug for forests are now barren.",wilderness
Ed Krumpe,[00:01:39:04],"I mean, there's still black stems standing from 2000 fanning that long. But the neat thing is, it's coming back. It's coming back slow as you fly over. You see a patchwork quilt of different shades of green. And that's called the natural vegetation mosaic. And that's where fires have since 2000, fires have spotted in small lightning fires. And they burn for a while and then they hit new growth, which is has more moisture and red and it's lower.",wildfire;growth
Ed Krumpe,[00:02:10:13],"And it drops. And so now we're starting to get that pattern back. And that's what supports wildlife, too. But it's a huge change. A huge a huge change has been the the effect, I think more than 50% of that wilderness has burned since 2000. That's a lot a lot of far. But it's kind of recycling things back there to get into better condition.",wildfire
Jack Kredell,[00:02:39:06],That was a lot of fuel that ... to it,
Ed Krumpe,[00:02:40:19],"It was unbelievable when the when the fire came through Taylor, Jim and Holly Akenson the managers rode out and headed downstream. They got to the Middle Fork and there were some people rafting that had stopped on the Middle Fork. And so they fed them and put them up. And then they went on upstream about I can't remember 11 miles or so to the Flying B and the fire spotted ahead head and came over there like two weeks later.",aviation;wildfire;water
Ed Krumpe,[00:03:14:11],"And there were a commercial plane and a private plane flying over that country at the time that that fire team came in. And our manager was there helping to protect that place. And it had an air to ground radio and the lookout, the Forest Service lookout on the south side of that Middle Fork said, holy cow, there's a fire of biblical proportions coming in.",aviation;wildfire
Ed Krumpe,[00:03:47:05],"I'm out of here. So our people heard that. And then it did come in and it created a firestorm where it's so hot and so much fire that branches and everything are being sucked up and it reignites the carbon in the flame and it goes even higher. So the commercial airline pilot was talking to a private pilot and they were at 32,000 feet and saying the smoke column is going above us.",aviation;wildfire
Ed Krumpe,[00:04:15:22],"And then they said no one could survive that conflagration. And our manager was helping defend his ranch and she had an underground radio. Just wait a minute! Wait a minute! There are people down here. We're fighting the fire. We're still here, which was important. They got word out and then, yeah, finally we're able to send people in. But that that those fires were, you know, every bit as big and hot as the ones you see now in California.",
Ed Krumpe,[00:04:46:05],"Just 30,000 foot smoke columns. That's a big fire. But now we get to study that and get to study how it comes back. And yeah, there's a lot a lot to look at. It's caused landslides and all kinds of things, but it's coming back.",
Jack Kredell,[00:05:10:16],"You mentioned how the environment has changed so much and you seem to almost expressed how you you felt a sense of loss perhaps, and nostalgia for this stuff for for for the burn. But you also you're also fine with it And that it's it's a it's a part of the natural fire cycle.",
Ed Krumpe,[00:05:42:16],"Well, it is a part of the natural fire cycle. And to see it up close. But it was shocking. I mean so when we would hike from from Taylor Wilderness Research Station up to Big Creek I mean up to our Cabin Creek, which is a Forest Service landing field that was little over seven miles. We would hike.",wildfire
Ed Krumpe,[00:06:04:16],"And I would say that 70% of that was in the shade of trees. And in fact, your legs would be wet because of the grass and the dew, because you usually start hiking in the morning. Now, 90% of that right out in the sun and there's a big old burnt snags and things like that. I mean, that's that's pretty major.",wildfire
Ed Krumpe,[00:06:30:01],"And Pioneer comes down through Taylor Ranch and that's about a 90,000 acre watershed. It's a basin and I can't remember how high, but close to 9 to 10000 feet high behind it. And more than 90% of that whole watershed that was completely covered with forest burnt. And so our big fear was that with big rainstorms and stuff, there's trees are gone.",wildfire;water
Ed Krumpe,[00:07:06:17],"That's just going to come sliding down. I mean, there could be huge mass wasting events where you'd have a wall of water and debris and stuff coming down. So we contacted the USGS and they've had people that have studied this process and they flew in some scientists and experts that looked at the area and surveyed it. And for quite a few years after the fire, every cabin and tent had an aerosol can with a boat horn on it.",
Ed Krumpe,[00:07:37:04],"And the instructions to every group that came in was if there's a really bad thunder burst up in the high country, this could come washing down. And if you ever hear that, you just you don't try to go to the cookhouse. You don't try to you just go any way to get uphill out of out of that little valley and you blast that horn.",
Ed Krumpe,[00:07:59:11],"And so this this was a serious concern. In fact, you know, we were really wondering, should we chance even bringing students in? But we didn't have big storms for a couple of years. We had some big storms and it would flow dirty, but it wasn't we weren't getting landslides. So I can't remember how many years, but maybe four or five years later.",
Ed Krumpe,[00:08:20:04],"The USGS came back in and they went up and were looking at it and they said, we've never seen anything like this. They had seen huge mass wasting events after forest fires over on the Oregon coast and Northern California. But here it wasn't occurring and the reason was there was so little soil, So so the trees weren't on thick topsoil or any kind.",
Ed Krumpe,[00:08:47:07],"The trees were growing in Boulder fields and rocks. And so it's it's true that after about 7 to 9 years, those trees would start to fall and the roots would start to decay. But they weren't. But it wasn't. They weren't holding soil. And so we kept monitoring that. Pretty soon I don't think you could find a boat horn in there anymore, but more for about 5 to 7 years we had we were concerned and worried about it, but it also was they just found that fascinating that you could have that large of a drainage with so little soil that had supported this fairly old growth, primarily Doug Fir Forest.",wilderness
Jack Kredell,[00:09:29:04],"So yeah, things like that. You just, you just don't know. You don't expect it until quote happens.",
Jack Kredell,[00:09:37:00],Something similar did happen not too far away that formed Roosevelt Lake. Right. So there are the theories imply that that that creek.,
Ed Krumpe,[00:09:47:16],"Or there's been many you know, places that this kind of thing has happened, but that that has been remarkably stable. I mean, I don't fear it now. I mean, you have some amazing cloudburst and you have some flooding. The other thing, though, that it pointed out and we never thought about this. Pioneer Creek is there and it's always been there.",
Ed Krumpe,[00:10:10:13],"And it's a wonderful jewel we have all these years we've been drinking the water out of Pioneer Creek with no need for any kind of treatment. We didn't get Giardia. We didn't get anything for 70 some years. Nobody caught anything from drinking that water. And so you think of that as a totally stable stream. But when the geologist from USGS, when they said, well, you realize this stream has been at two primary different locations and possibly three, and you really saw this great big sloping meadow where we harvested our hay and stuff.",water
