speaker,timestamp,End Time,words,tags

Jennifer Ladino,[00:00:00:00],00:00:25:10,"My name is Jennifer Ladino and I'm a professor at the University of Idaho and the English Department. I'm also core faculty in environmental science, and I've been here since 2010, which is roughly when I started to get involved with the Taylor Wilderness Research Station through planning for the Semester in the Wild program, which we launched in 2013. And I was part of the interdisciplinary team that helped put that together.",
Jennifer Ladino,[00:00:25:12],00:01:03:23,"So basically I learned about Taylor when I was at my new faculty orientation, and someone came and spoke about this magical place that was, you know, 35 miles in by foot or a 30 minute bus plane ride, and that we sometimes brought students into the space and researchers. And I was like, pick me. And so I went and introduced myself to Steve Holland Horse back then and got involved with the planning for for a semester in the wild to sort of ingratiate myself into that that planning phase and was really fortunate to be part of the initial cohort of people that taught in and learned this semester in the wild.",wonder
Jennifer Ladino,[00:01:04:01],00:01:12:19,So that is my early relationship with what is affectionately called the Taylor Ranch.,
Jack Kredell,[00:01:12:21],00:01:24:04,"Can you talk about Semester in the Wild, what it is, and what some of the goals are for the program?",
Jennifer Ladino,[00:01:24:06],00:01:47:12,"Yeah, Yeah. I mean, I think one of the early taglines we came up with was America's Wildest Classroom. Right. Like, this is a really unique place for students to spend time. And the two things that I think make it the most unique are one is in this giant wilderness area, the largest in the lower 48, the Frank Church River of No Return.",water;wilderness
Jennifer Ladino,[00:01:47:14],00:02:16:03,"And then students get to spend the full semester there. And that's a really unique opportunity for them. There's nothing quite like it that I know of in the US. And the other thing is that we we deliberately designed it to be an interdisciplinary curriculum with a humanities presence. So it's not that they're just out there learning river ecology or wildlife biology, but that they're also writing and they're reading and they're thinking about the sort of human dimensions of this wilderness.",creativity
Jennifer Ladino,[00:02:16:03],00:02:34:01,"And we have that as a core piece of the curriculum from the start. And I think that makes it really unique as well. I can keep going. No, I mean, I'm trying to work on shorter interview answers. I'm a rambler in job interviews, but in this sort of thing.",
Jack Kredell,[00:02:34:03],00:02:41:10,"You know, not as much like imagined. Imagine somebody who doesn't know anything about the program.",
Jennifer Ladino,[00:02:41:16],00:02:42:11,"Yeah, maybe.",
Jack Kredell,[00:02:42:11],00:02:47:08,"Even a dry Idaho student. Yeah. Like, this is all very good information.",
Jennifer Ladino,[00:02:47:09],00:03:09:20,"Well, and they need to do a better job at telling their story because it is such a unique opportunity for students. They spend the fall semester there often will end, I think, right around Thanksgiving break because the weather gets too too bad to keep the buildings open. But students are there for a good three months and faculty rotate in and out and teach their courses in sort of a block format.",
Jennifer Ladino,[00:03:09:22],00:03:35:14,"So that works really well. There's focused time for students to really deeply engage with the material for one course and really get to know one faculty member at a time. Sometimes we go in in teams and that works really well as as well. But yeah, we, we design in a lot of overlap between the courses and synergy. You know, we might read the same text but read it in the environmental history course as well as in the environmental writing course.",creativity
Jennifer Ladino,[00:03:35:15],00:04:06:13,"Right. So you're tackling it from both the historical perspective and the perspective of sort of close analysis of language. One of my favorite moments in the first couple of years was thinking closely about the language of the Wilderness Act. So the word untrammeled, for instance, is really a tricky one, and it's been the source of a lot of discussion and some controversy and sort of the legal world like what does it mean to say that this is an untrammeled space?",government
Jennifer Ladino,[00:04:06:15],00:04:31:14,"And so bringing your sort of literary studies, English major, English professor lands to bear on sort of the language of that legal document. It was really, really fascinating. And it was a great way to teach students sort of our bread and butter skill of close reading, you know, paying attention to the connotations and the richness of language and to think about what the Wilderness Act meant when it was made in 1964 and what it means, you know, 50 plus years later.",government
Jennifer Ladino,[00:04:31:14],00:04:39:15,"So that sort of synergy, I think, makes the program really fascinating and distinctive.",
Jack Kredell,[00:04:39:17],00:05:11:23,"Are there any tensions between this idea of wilderness as untrammeled space and trampled space? Taylor. Taylor as a human space, human environment that is ensconced within a much larger wilderness. Are there any tensions between those two things, or is it or is or are they productive tensions maybe?",
Jennifer Ladino,[00:05:12:01],00:05:35:11,"Yeah. I mean, the whole idea of wilderness is full of tensions, right? Even the word and trampled means we sort of think of it as meaning like untouched or inhibited. And that is kind of what it means. But what that also implies as a kind of free item, Right? So like a freedom to for wild horses to remain wild is part of it.",wilderness
Jennifer Ladino,[00:05:35:13],00:06:05:08,"So that implies a very hands off participation in or lack of from humans. And so I think there's this tension between soaring wilderness as both a sort of that antithesis to civilization, something that is not us, but because we created it, because it was sort of our idea to sort of make wilderness a designated space. And it's always had, you know, the imprint of of human presence.",wilderness
Jennifer Ladino,[00:06:05:08],00:06:25:00,"And so you can't fully separate out, you know, wilderness from civilization, especially in a place like Taylor, where you've got, you know, planes landing and you've got horses and you have hunters coming through. And there's plenty of activity that bears the mark of of humans. Right. And the humans live there most of the year. So that's one of the tensions.",aviation
Jennifer Ladino,[00:06:25:00],00:06:49:07,"I mean, the wilderness, there's so much so much to it. You know, historically, if you think back to just what it means and what it how it registers emotionally to people, right? Like in the 19th century, it was a scary thing, Like it was a terrifying place. The word wilderness had connotations of fear and, you know, awesomeness and that sense of of sublime sort of fascination and horror.",wilderness
Jennifer Ladino,[00:06:49:09],00:07:11:21,"And it was something that because of that, you know, Western European colonists thought they needed to sort of tame. And you see some of that legacy and just the idea of sort of managing wilderness, right? We manage it and some National Park Service have spaces have managed wilderness that's maybe not been officially designated, but is sort of earmarked for that.",legacy
Jennifer Ladino,[00:07:11:21],00:07:37:03,"And so they manage it as such. So, you know, starting around the end of the 19th century and you can read environmental historians on this, but we've reached we European colonists reached the end of the mainland. US began to sort of have some anxiety about running out of sort of nature. Right. And feeling like the frontier was closed.",legacy
