speaker,timestamp,End Time,words,tags

Jack Kredell,[00:00:00:00],00:00:52:09,"So imagine an audience member who doesn't know you obviously doesn't know your research or anything about this kind of research. But I think if we take that approach, it'll be pretty good. So to start out, just introduce yourself and then maybe how you how you learned about Taylor or how you became associated with Taylor. So, like Grace Piven, and then you're studying for your passion, hydrology or whatever.",
Jack Kredell,[00:00:52:11],00:00:56:04,And then tell us how you how you got to Taylor.,
Grace Peven,[00:00:56:06],00:01:45:23,"Yeah. Are you ready? Yeah. Okay. My name is Grace Peven, and I'm a Ph.D. student in the Water Resources Program at University of Idaho in Moscow. I first learned about Taylor when I was looking for graduate programs, and I came across some water research being done by my advisor, Dr. Mary Engles, out at Taylor. And I was immediately interested because I had heard about Taylor before and that it was right in the middle of the Frank Church wilderness, and I thought that would be a really interesting place to do research because it's a natural laboratory and we can learn a lot about natural system ecosystems and watersheds out here.",
Grace Peven,[00:01:46:01],00:02:06:14,"So based on like what I wanted to do with my career, I felt that it would be a really good match for me. So I contacted my advisor and she was studying springs out here and just started inventorying and monitoring springs and getting them on the map since a lot of them have not been mapped out here at all.",
Grace Peven,[00:02:06:16],00:02:14:13,So that was part of our part of the project that I was joining in on.,
Jack Kredell,[00:02:14:15],00:02:23:06,And then now can you excuse me?,
Jack Kredell,[00:02:23:08],00:02:27:01,"So, so what is your project? You know, if you could describe it.",
Grace Peven,[00:02:27:03],00:03:10:15,"Yeah. Basically, my research is detecting and understanding change, environmental change around spring ecosystems. And so, especially under the context of climate change and changing water conditions, we're seeing snowmelt happen earlier and earlier each year with a lot of differences in timing and in quantity on the landscape and the watershed and watersheds around Taylor are all snowmelt dependent and and they feed downstream water sources throughout the whole Columbia Salmon River and Columbia Basin.",water;perspective
Jack Kredell,[00:03:11:07],00:03:12:20,Wait in the.,
Grace Peven,[00:03:12:22],00:03:14:10,Project.,
Jack Kredell,[00:03:14:12],00:03:16:11,Yeah. Tell us about your research project.,
Grace Peven,[00:03:16:13],00:03:52:04,"Cool. So basically my research is detecting and understanding change. And under the context of climate change in Headwaters Spring, ecosystems around Taylor Ranch. So basically the motivation for this project comes from observing climate change, especially in the western U.S. We're seeing earlier snowmelt, timing and changes in quantity of snow throughout the winter and also how quickly it melts off in the springtime.",water;perspective
Grace Peven,[00:03:52:06],00:04:23:18,"So we're our water resources are changing and they're changing fairly rapidly. And a lot of our water that we that we rely on downstream comes starts at these springs up in the headwaters in the mountains. So they're really important water resources to study. And they've been pretty understudied in this part of the country and they're really important here too, especially being in kind of a semi-arid climate.",water
Grace Peven,[00:04:23:18],00:04:46:05,"They're often like the only water resources for four miles for wildlife and and plants. So they they provide a pretty important ecosystem. So they're important to monitor and study and a lot of these springs out here have never been mapped. There's been a few researchers in the past that have started mapping these springs, but they haven't really been studied long term.",
Grace Peven,[00:04:46:05],00:05:19:13,"And over time. So what I'm doing is measuring discharge and flow at these springs to understand how they're changing in the in the dry season, in the summer season. So from May to October, I'll come out here and measure discharge and soil moisture and water quality measurements as an indicator of change. And to understand how how the springs are reacting to changes in snowmelt, timing and precipitation.",water
Grace Peven,[00:05:19:15],00:05:49:12,"So so after I collect my my field measurements, I'll use remote sensing to correlate the satellite imagery with the field measurements I've been taking this summer and using the satellite imagery. It's a really powerful tool to look back in time, to understand, to start building a dataset over time. That tells us how these springs have been changing.",
Jack Kredell,[00:05:49:14],00:05:55:14,I like to include some awkward silence at the end in order to as a buffer for cutting.,
Grace Peven,[00:05:55:16],00:05:57:01,Okay. Yeah.,
Jack Kredell,[00:05:57:03],00:06:00:12,Sort of cool you out.,
Grace Peven,[00:06:00:14],00:06:21:21,"Yeah. Let me know if you want me to, like, explain any aspect more or if that made sense.",
Jack Kredell,[00:06:21:23],00:06:32:15,"Can you talk about the process of locating springs? I know that you rely on some remote sensing data cuts. That's not the entire picture, right?",
Grace Peven,[00:06:34:14],00:07:11:03,"Yeah. Some of these springs were previously mapped by a couple previous grad students, but there's a lot of springs that are still unmapped on the landscape. And I found that the more time I spend out here, the more intuitive the location of springs are. So. And it changes throughout, throughout the year. I found that in April and May the springs were fairly obvious on the landscape because they stuck out their coloration of the riparian vegetation around the spring footprint was pretty unique.",
Grace Peven,[00:07:11:05],00:07:35:16,"So as I'm spending a lot of time out here and hiking around, it's it's more obvious where the springs are based, based on that vegetation. And they really look like islands, terrestrial islands on the landscape a lot of the time. Sometimes they'll start at at the headwaters of a stream and then continue down and you can see that classic riparian corridor.",water
