speaker,timestamp,End Time,words,tags

Janet Pope,[00:00:00:00],00:00:24:05,"So I've been coming here to Taylor for several years. I was trying to think tonight how long it's been. It has been since late nineties. And I came here mainly because when I came to Idaho from Detroit and I have a ranch up on the lower salmon, I met a helicopter pilot and he was doing work in here.",aviation
Janet Pope,[00:00:24:07],00:00:50:09,"So I got to come in here and I met Jim and Holly Akenson at the time, got very enthused with the whole idea of Taylor, and at the same time I have a foundation that I run in Michigan. My dad and my grandpa had a machine tool company and wanted to get back to Students for Engineering Education. Grandpa never went past the eighth grade and so we were doing things in engineering.",
Janet Pope,[00:00:50:09],00:01:13:01,"But once I came out to Idaho and fell in love with the backcountry, which I did a lot of things with outfitters and that and all that, enjoyed the horses and the packing and got to know the wilderness. I started bringing some of the funds out to share with Idaho, and I was introduced to the University of Idaho through Taylor.",wilderness
Janet Pope,[00:01:13:03],00:01:54:16,"And it was that those early years that Jim and Holly Akenson were here and we we were trying to think of ideas for involving undergraduate students here and also continue research, hopefully have graduate programs that would expand any world sort of world class research in here, because this is a perfect place to examine what is still pristine wilderness compared to what happens in the cities, you know, and what we've done to civilization back where we all live.",wilderness
Janet Pope,[00:01:54:18],00:02:25:05,"But anyway, so my first interaction with them was with the professors there at University of Idaho. We we thought of ideas for letting the professors think of a project, a research project, and then find a student. We thought of ideas to have interns come in here in the summer and we've had for two six of them every summer since, and they would work at the ranch and learn things from professors coming in.",creativity
Janet Pope,[00:02:25:07],00:03:04:13,"So I saw a lot of ways that the Devlieg Foundation could support these programs because everybody needed a way to financially get in here. And so I became happily a great part of the team. And I didn't work for you. I always felt like I was, but we have had some very successful programs. The The Devlieg cabin came out of the fire in 2000 where they lost a couple bunkhouses, and I just innocently said maybe the Lake Foundation could help a little.",wildfire
Janet Pope,[00:03:04:15],00:03:32:09,"And and if any of you seen the Devlieg cabin, you'll know we did it a lot and a lot of it was volunteer work and labor love to make something that would be a signature of the backcountry, along with fixing up some of the other cabins. So I care very much about the history of the place. I care very much about wilderness.",wilderness
Janet Pope,[00:03:32:11],00:04:00:08,I think if you have to keep educating people to wilderness or or we'll lose it. So we need to educate the young and and the old and and keep the the history alive. And here I've been very thrilled to be a part of every process. And project. And here I also have involved research with other universities to come in here and do their studies.,wilderness
Janet Pope,[00:04:00:10],00:04:27:03,"So during some of our ideas get togethers with the ranch here, I we decided to create what we call a Devlieg undergraduate research scholar. And that idea was to bring undergrads into experiencing a research project. It didn't have to be a two year graduate program or anything. It could be just a summer program. There's so much research has been done in here and luckily it's becoming cataloged.",creativity
Janet Pope,[00:04:27:05],00:04:49:07,"So you can say what was done on woodpeckers. And you know, you can gather that information and carry on from there. But these students, it was a very successful program in that they felt like they had a real project and it was only like ten weeks in the summer. These some of the students have gone on to publish and stay in that subject matter.",legacy
Janet Pope,[00:04:49:09],00:05:26:02,"But every time we have the interns in here and these young students, we we have them give a report at the end of the summer. And I am just always thrilled with their comments and their successes and the whole idea that they came in here and basically a lot of them, it's changed their life. They've said, my God, they had no idea what it would be like to separate themselves from town, from whatever their everyday things are, and their their friends and family and everything, and experience the wilderness and experience taking care of themselves.",legacy
Janet Pope,[00:05:26:03],00:05:57:17,"And it's always brought tears to my eyes to have them make those statements because that's what it's all about. People that come in here, it changes people. It's slow, it's quiet. Sure, we have now we have internet and ways to continue to connect with research. And that's what it's really for. So we're able to keep in contact and a lot of people hike all the way in here, which is 35 miles from the trailhead, and a lot of the kids fly in.",legacy
Janet Pope,[00:05:57:17],00:06:20:05,"But I'm able to, with my foundation, able to support the funding so that they can do that. And a couple of years ago, we decided to bring professors in every summer for these interns that would teach at maybe a two or three day course and they'd learn more about the area. So it's been a pretty successful program.",legacy
Jack Kredell,[00:06:20:07],00:06:38:19,"That was great. So can you maybe reflect on what you think the value of a wilderness education is? You know, what does what what does Taylor provide that that other spaces really can't?",
Janet Pope,[00:06:38:21],00:06:39:23,"That's really hard, isn't it?",
Jack Kredell,[00:06:40:03],00:06:41:12,Yeah.,
Janet Pope,[00:06:41:14],00:06:43:14,What do you think?,
Jack Kredell,[00:06:43:16],00:07:07:17,"Well, you mentioned the the quiet, which struck me. It's just it's struck me ever since I arrived here that the so-called Taylor time, the fact that, you know, you're removed from the stuff that is vexing you and causing anxiety and you get to. Yeah, you know that in a way. Yeah. Observe things for one.",
Janet Pope,[00:07:07:19],00:07:08:10,I.,
Jack Kredell,[00:07:08:12],00:07:11:06,Don't know.,
Janet Pope,[00:07:11:08],00:07:42:05,"The set of experiences I think people have at Taylor are all very personal, but I think it's one theme in that you come in and it's quiet, it's basic. You have to have what you need, you have to brought it in. It's quiet, I think. I mean, it's a place where people can think and can think about what they're doing on the what we want to call, I guess, the outside world and sometimes it's hard to come back to after being a Taylor.",
Janet Pope,[00:07:42:05],00:08:04:03,"It's not an earth shattering experience, but it's a peaceful time to be in here and and have one little project maybe for the undergrads. We have graduate students that have specific projects and they come in here and hike all over the place. They're gone all day of rivers and creeks and up the trail, and they're they're in love with them.",routine
Janet Pope,[00:08:04:05],00:08:23:20,And I and I understand I love the the out-of-doors and the wilderness and the fact that I got here a couple of days ago and looked over the the deck at the lake and there was a a a bear and a and a cub walk another right by the tent. That's pretty cool. So you do see a lot of wildlife.,wilderness
Janet Pope,[00:08:23:21],00:08:39:13,I think what it does is makes you realize that you could slow down back at home. I think maybe something could be said about why I give and.,
Jack Kredell,[00:08:39:15],00:08:40:03,Why do you.,
Janet Pope,[00:08:40:03],00:09:12:17,"Give? Yeah, Really? Well, you know, with development people that I've been involved with the university. Why? Why do you give? I've been more excited about giving to University of Idaho and Taylor Ranch than anything my foundation does. I know I should be helping carry on my my dad and my grandpa legacy in the machine tool business. But gosh, you know, the backcountry is a lot more intriguing, but it's a passion.",legacy
Janet Pope,[00:09:12:19],00:09:33:15,"They talk about that and developing. It's a passion that you have something in your life and I have that passion here for Taylor. I have been doing a lot of it, like half of maybe our funding comes to the university at home. Taylor And just to encourage research, encourage use of the place, encourage people to have these experiences.",legacy
Janet Pope,[00:09:33:17],00:10:03:12,"And I you know, like I don't work for the university, but sometimes I think they think I do. Yes. I'm I'm always telling them ideas and hoping to make their ideas happen. And I we've probably have just a few more years with the foundation. I'm I'm pushing pushing some age here and I think of Taylor as the legacy for my foundation and my heart's really in it.",legacy
Janet Pope,[00:10:03:12],00:10:14:02,"So that's pretty cool. So on top of everything else, I love my muse. Also, two years ago I wrote my bills in here that made all the difference in the world too. So yeah.",
Jack Kredell,[00:10:14:04],00:10:36:09,"Got it. Very. Janet, you're extremely generous with your support for Taylor. Yeah, And it feels like you. It's because you want other people, specifically younger people, to. To have that same experience and passion as Yeah. To be able to experience that for themselves.",
Janet Pope,[00:10:36:12],00:10:38:03,So can I say then that.,
Jack Kredell,[00:10:38:05],00:10:41:08,"Yeah, I mean it to me that seems what you're doing is.",
Janet Pope,[00:10:41:08],00:10:42:00,Yeah.,
Jack Kredell,[00:10:42:02],00:10:44:00,It's that you want other people to have.,
Janet Pope,[00:10:44:02],00:10:46:11,"Yeah, yeah.",
Jack Kredell,[00:10:46:13],00:10:47:14,Yeah. Okay.,
Janet Pope,[00:10:48:05],00:11:30:14,"Yeah. So also the passion that I feel for Taylor is the thrill of sharing it with others. And it's not a big crowd and a Taylor. I mean, the university always has trouble making ends meet in here and going through budget and that kind of thing. So I try to help with that. But it's an individual experience in here that it really happens and it slows you down and makes you look at wildlife and the ecology in here and makes you think about the world.",
Janet Pope,[00:11:30:16],00:11:50:07,I didn't set out to do all that. It just sort of happened with this. With the way I feel about Idaho and the way I feel about the backcountry and I just love sharing it with other people and I've been able to help make that happen financially. So I'm very pleased.,
Jack Kredell,[00:11:50:09],00:12:17:10,"Are there any specific or can you reflect on any any memories or specific times that you've had at Taylor that you really cherish? You know, is there anything that stands out from all of your visits?",
Janet Pope,[00:12:17:12],00:12:22:08,"Well, I could talk about the cabin a little bit because that was huge.",
Jack Kredell,[00:12:22:10],00:12:22:22,Yeah.,
Janet Pope,[00:12:23:00],00:12:55:17,"Yeah. So when it came time that they needed more room for students to stay and everything, we we had this idea, all of us, the university, I think to build a cabin. And so I got involved with the foundation did and my husband at the time still flying helicopters. We were able to steer head the whole project basically, and you know, as all volunteer and with my heart that we did all we did.",
Janet Pope,[00:12:55:17],00:13:22:16,"And Jim Pope is is a hard worker, too. And so we organized the whole helicopter lift off the main salmon, and we had 32 loads come in here with this all the logs. And then we sat here and watched and put it all back together. And then, then I hired three carpenters that are very good with logs, cabins, because they worked on my cabin on the Lord Salmon, and they came in and put the roof on, put it all together, did all the inside.",Aviation
Janet Pope,[00:13:22:16],00:13:48:22,"And then I stayed and stayed and with Holly and spent our first night in the cabin, it was it was quite, quite the event. And I think the backcountry has a lot of that volunteerism because the backcountry all supports itself. People back here want to help the other guy like you don't drive away from a guy that's stuck in a ditch, you know, in the middle of nowhere.",community
