speaker,timestamp,words,tags

Maurice Hornocker,[00:00:00:00],"We tracked the cat out of Rush Creek, and Wilbur was a little reluctant to turn loose on it because he couldn't judge how old it was. And Rush Creek is really (hand motion). ",Rush Creek
Maurice Hornocker,[00:00:08:12],"But we turned loose up there under the tower, and it went down to the mouth of Rush Creek, crossed Big Creek, went three quarters of the way up Horse Mountain, angled around into Cliff Creek and over. And we found one of the dogs after dark over on the ridge into Goat Creek.",Big Creek;Rush Creek;Horse Mountain;Cliff Creek;Goat Creek
Maurice Hornocker,[00:00:34:18],So we went dropped off into Taylor Ranch for the night and got up early and went back up the ridge.,TWRS
Maurice Hornocker,[00:00:42:14],Next morning and found the other two dogs that had treed that cougar but we're off on a cliff and had to go off the cliff with a rope to get the dogs off that cliff.,
Maurice Hornocker,[00:00:49:03],But we're off on a cliff and had to go off the cliff with a rope to get the dogs off that cliff.,
Maurice Hornocker,[00:00:57:23],But we marked that cougar and but Little red was gone -- his favorite -- and we tracked him off into the Goat Creek and up onto Dunn's Creek Ridge. Still no Red.,Goat Creek;Dunce Creek Ridge
Maurice Hornocker,[00:01:13:02],"And, dark. So we got back to Taylor and Wilbur figured he was gone. So we spent all the next day tracking that country and didn't find his track. And where was that? Either cougars killed him or is run off a cliff.",TWRS
Maurice Hornocker,[00:01:36:06],"But we got up the next morning and said well, let's go down and make one more look. In the early years Wilbur established a camp at the mouth of Dunce Creek. Just a sleepover camp.",Dunce Creek
Maurice Hornocker,[00:01:59:15],"Because we didn't have facilities at Taylor that first winter, but we did at Cabin Creek. But anyway, we went down and, no tracks on the trail. Nothing. And we approached that old campsite and here comes Red bounding out of the creek bottom, barking his head off at us.",Cabin Creek;mouth of Dunce Creek
